0
"[('Marital_status', 0.194538879), ('Education', 0.108640884), ('Occupation', 0.024314654), ('Workclass', 0.021653266), ('Native_country', 0.016042299), ('Hours_per_week', 0.009856312), ('Race', 0.004500904), ('Sex', 0.00347698), ('Age', 0.000568434)]"
"[('Marital_status', 0.194554587), ('Education', 0.10854484), ('Occupation', 0.024124263), ('Workclass', 0.021815468), ('Native_country', 0.015929601), ('Hours_per_week', 0.009937311), ('Race', 0.004559333), ('Sex', 0.003453959), ('Age', 0.000754676)]"
"[('Marital_status', 0.195631307), ('Education', 0.108944047), ('Occupation', 0.023962869), ('Workclass', 0.021506907), ('Native_country', 0.015910974), ('Hours_per_week', 0.009604569), ('Race', 0.004341951), ('Sex', 0.003360105), ('Age', 0.001119894)]"
"[('Marital_status', 0.19458799), ('Education', 0.108541743), ('Occupation', 0.024281346), ('Workclass', 0.021748559), ('Native_country', 0.015975187), ('Hours_per_week', 0.009839795), ('Race', 0.004518481), ('Sex', 0.003498693), ('Age', 0.000163286)]"
"[('Marital_status', 0.194739175), ('Education', 0.108615583), ('Occupation', 0.024049697), ('Workclass', 0.021794954), ('Native_country', 0.015879372), ('Hours_per_week', 0.009836253), ('Race', 0.004538819), ('Sex', 0.003455303), ('Age', 0.000434548)]"
"[('Marital_status', 0.194717095), ('Education', 0.10858723), ('Occupation', 0.024176135), ('Workclass', 0.021777283), ('Native_country', 0.015919362), ('Hours_per_week', 0.009817417), ('Race', 0.004520109), ('Sex', 0.00350204), ('Age', 7.28e-06)]"
"[('Marital_status', 0.194659514), ('Education', 0.108590595), ('Occupation', 0.024210902), ('Workclass', 0.021782128), ('Native_country', 0.015900601), ('Hours_per_week', 0.009824343), ('Race', 0.004525994), ('Sex', 0.003493675), ('Age', 6.99e-05)]"
"[('Marital_status', 0.194768447), ('Education', 0.108581536), ('Occupation', 0.024146853), ('Workclass', 0.021758557), ('Native_country', 0.015891333), ('Hours_per_week', 0.009819367), ('Race', 0.004521958), ('Sex', 0.0035014), ('Age', 5.9e-05)]"
"[('Marital_status', 0.194924272), ('Education', 0.108681202), ('Occupation', 0.024196922), ('Workclass', 0.021780473), ('Native_country', 0.01587163), ('Hours_per_week', 0.009771825), ('Race', 0.004474911), ('Sex', 0.003435746), ('Age', 0.000120113)]"
"[('Marital_status', 0.194275861), ('Education', 0.108667239), ('Occupation', 0.024213715), ('Workclass', 0.021784865), ('Native_country', 0.015837804), ('Hours_per_week', 0.009783087), ('Race', 0.004528731), ('Sex', 0.003483827), ('Age', 0.000962411)]"
"[('Marital_status', 0.194870517), ('Education', 0.108972657), ('Occupation', 0.024103913), ('Workclass', 0.021804635), ('Native_country', 0.015815922), ('Hours_per_week', 0.009752431), ('Race', 0.004455077), ('Sex', 0.003411815), ('Age', 0.00032393)]"
"[('Marital_status', 0.194702336), ('Education', 0.108652315), ('Occupation', 0.024181238), ('Workclass', 0.021776117), ('Native_country', 0.015910974), ('Hours_per_week', 0.00982627), ('Race', 0.004508518), ('Sex', 0.00348738), ('Age', 3.14e-05)]"
"[('Marital_status', 0.194675897), ('Education', 0.108702799), ('Occupation', 0.024198704), ('Workclass', 0.021675251), ('Native_country', 0.015911859), ('Hours_per_week', 0.009800095), ('Race', 0.004512739), ('Sex', 0.00348912), ('Age', 0.000305039)]"
"[('Marital_status', 0.194662138), ('Education', 0.108620825), ('Occupation', 0.024194343), ('Workclass', 0.02174536), ('Native_country', 0.015923724), ('Hours_per_week', 0.009853363), ('Race', 0.004521269), ('Sex', 0.00350013), ('Age', 4.56e-05)]"
"[('Marital_status', 0.195904315), ('Education', 0.10879817), ('Occupation', 0.024218716), ('Workclass', 0.021527229), ('Native_country', 0.015844061), ('Hours_per_week', 0.00958099), ('Race', 0.004307087), ('Sex', 0.003260176), ('Age', 0.0009032)]"
"[('Marital_status', 0.194824843), ('Education', 0.108546684), ('Occupation', 0.024135041), ('Workclass', 0.021728396), ('Native_country', 0.015944173), ('Hours_per_week', 0.009775118), ('Race', 0.004526215), ('Sex', 0.003498938), ('Age', 0.000114742)]"
"[('Marital_status', 0.194978246), ('Education', 0.108568532), ('Occupation', 0.024108905), ('Workclass', 0.021792106), ('Native_country', 0.015951378), ('Hours_per_week', 0.009821768), ('Race', 0.004489635), ('Sex', 0.003429791), ('Age', 0.000141867)]"
"[('Marital_status', 0.195140821), ('Education', 0.108775243), ('Occupation', 0.024156174), ('Workclass', 0.021696486), ('Native_country', 0.015851273), ('Hours_per_week', 0.009727329), ('Race', 0.004433695), ('Sex', 0.003430489), ('Age', 0.000192544)]"
"[('Marital_status', 0.196456889), ('Education', 0.108961851), ('Occupation', 0.02400319), ('Workclass', 0.02149884), ('Native_country', 0.015721796), ('Hours_per_week', 0.009654628), ('Race', 0.004225726), ('Sex', 0.00318085), ('Age', 0.000683723)]"
"[('Marital_status', 0.194490417), ('Education', 0.108533289), ('Occupation', 0.024232799), ('Workclass', 0.021771452), ('Native_country', 0.01592191), ('Hours_per_week', 0.009828291), ('Race', 0.004515317), ('Sex', 0.003511168), ('Age', 0.000268979)]"
"[('Marital_status', 0.194739737), ('Education', 0.108538827), ('Occupation', 0.024162784), ('Workclass', 0.021788753), ('Native_country', 0.015962329), ('Hours_per_week', 0.009804484), ('Race', 0.004532618), ('Sex', 0.00348651), ('Age', 0.000111269)]"
"[('Marital_status', 0.194720045), ('Education', 0.108562436), ('Occupation', 0.024117172), ('Workclass', 0.021737503), ('Native_country', 0.015989969), ('Hours_per_week', 0.009777314), ('Race', 0.004519211), ('Sex', 0.003503427), ('Age', 0.000181253)]"
"[('Marital_status', 0.194706755), ('Education', 0.108601508), ('Occupation', 0.024176458), ('Workclass', 0.021766979), ('Native_country', 0.015916056), ('Hours_per_week', 0.009822902), ('Race', 0.00452036), ('Sex', 0.003501558), ('Age', 9.65e-06)]"
"[('Marital_status', 0.194502795), ('Education', 0.108512464), ('Occupation', 0.024232415), ('Workclass', 0.02179216), ('Native_country', 0.015985285), ('Hours_per_week', 0.009880088), ('Race', 0.004536026), ('Sex', 0.00348657), ('Age', 0.000452614)]"
"[('Marital_status', 0.194682868), ('Education', 0.108580298), ('Occupation', 0.024224163), ('Workclass', 0.021784338), ('Native_country', 0.015925272), ('Hours_per_week', 0.00977631), ('Race', 0.004528204), ('Sex', 0.003482), ('Age', 0.000857445)]"
"[('Marital_status', 0.19451047), ('Education', 0.108639705), ('Occupation', 0.02425524), ('Workclass', 0.021757455), ('Native_country', 0.015892749), ('Hours_per_week', 0.009829337), ('Race', 0.004501321), ('Sex', 0.00350218), ('Age', 0.000312121)]"
"[('Marital_status', 0.194561684), ('Education', 0.108697367), ('Occupation', 0.024366523), ('Workclass', 0.021836331), ('Native_country', 0.01595782), ('Hours_per_week', 0.009781638), ('Race', 0.004487283), ('Sex', 0.003460824), ('Age', 0.000247683)]"
"[('Marital_status', 0.194500191), ('Education', 0.10855456), ('Occupation', 0.024196076), ('Workclass', 0.021770566), ('Native_country', 0.015964783), ('Hours_per_week', 0.009769387), ('Race', 0.004514431), ('Sex', 0.003502779), ('Age', 0.000615719)]"
"[('Marital_status', 0.194885821), ('Education', 0.108615212), ('Occupation', 0.024252215), ('Workclass', 0.021658682), ('Native_country', 0.015885282), ('Hours_per_week', 0.009811296), ('Race', 0.004492426), ('Sex', 0.003462988), ('Age', 0.000211085)]"
"[('Marital_status', 0.195176344), ('Education', 0.108421073), ('Occupation', 0.024120028), ('Workclass', 0.021849392), ('Native_country', 0.015864507), ('Hours_per_week', 0.009761728), ('Race', 0.004462052), ('Sex', 0.003440914), ('Age', 0.000549555)]"
