0
"[('Marital_status', 0.155939496), ('Occupation', 0.085579616), ('Age', 0.068503702), ('Workclass', 0.014345472), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.005674395), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.155658565), ('Occupation', 0.084122923), ('Age', 0.067513928), ('Workclass', 0.01458709), ('Native_country', 0.014300368), ('Hours_per_week', 0.014081485), ('Education', 0.005566744), ('Race', 0.001684119), ('Sex', 0.001571392)]"
"[('Marital_status', 0.15587601), ('Occupation', 0.085127586), ('Age', 0.067965806), ('Workclass', 0.01458709), ('Hours_per_week', 0.013903803), ('Native_country', 0.013518402), ('Education', 0.00295125), ('Sex', 0.00169822), ('Race', 0.001294831)]"
"[('Marital_status', 0.155939496), ('Occupation', 0.085531909), ('Age', 0.068098197), ('Workclass', 0.01458709), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.006303831), ('Sex', 0.001634734), ('Race', 0.001217265)]"
"[('Marital_status', 0.155888271), ('Occupation', 0.085133282), ('Age', 0.068038145), ('Workclass', 0.014626587), ('Native_country', 0.013827423), ('Hours_per_week', 0.013694286), ('Education', 0.003053172), ('Sex', 0.001716494), ('Race', 0.00118963)]"
"[('Marital_status', 0.156023233), ('Occupation', 0.085977876), ('Age', 0.068225484), ('Workclass', 0.014593629), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.002215208), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.156004563), ('Occupation', 0.08442452), ('Age', 0.067607927), ('Workclass', 0.01458709), ('Native_country', 0.013985648), ('Hours_per_week', 0.013814544), ('Education', 0.003449524), ('Race', 0.00161991), ('Sex', 0.001569667)]"
"[('Marital_status', 0.155861851), ('Occupation', 0.084509644), ('Age', 0.067725325), ('Workclass', 0.01458709), ('Hours_per_week', 0.014011869), ('Native_country', 0.013549124), ('Education', 0.006300122), ('Race', 0.001773985), ('Sex', 0.00171238)]"
"[('Marital_status', 0.154026453), ('Occupation', 0.082805451), ('Age', 0.066938438), ('Native_country', 0.015379022), ('Hours_per_week', 0.014860393), ('Workclass', 0.01458709), ('Education', 0.005646362), ('Race', 0.002297346), ('Sex', 0.002050187)]"
"[('Marital_status', 0.156891899), ('Occupation', 0.085579616), ('Age', 0.068009879), ('Workclass', 0.014627382), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.002314342), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.156085471), ('Occupation', 0.086504466), ('Age', 0.067856655), ('Workclass', 0.015279399), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.006191999), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.154851988), ('Occupation', 0.083845128), ('Age', 0.067386141), ('Hours_per_week', 0.014875553), ('Workclass', 0.01458709), ('Native_country', 0.014295421), ('Education', 0.003986737), ('Race', 0.001831283), ('Sex', 0.001719479)]"
"[('Marital_status', 0.154883212), ('Occupation', 0.086774706), ('Age', 0.068624251), ('Workclass', 0.014448284), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.007070673), ('Sex', 0.001634734), ('Race', 0.001169558)]"
