0
"[('Marital_status', 0.160904227), ('Education', 0.109675093), ('Age', 0.065159476), ('Occupation', 0.024283232), ('Native_country', 0.013625172), ('Workclass', 0.01354103), ('Race', 0.001430497), ('Sex', 0.000499022), ('Hours_per_week', 9.47e-05)]"
"[('Marital_status', 0.160907198), ('Education', 0.109506336), ('Age', 0.065163539), ('Occupation', 0.024491688), ('Native_country', 0.013618284), ('Workclass', 0.01354103), ('Race', 0.001408957), ('Sex', 0.000487752), ('Hours_per_week', 0.000221277)]"
"[('Marital_status', 0.160340875), ('Education', 0.109419511), ('Age', 0.065212474), ('Occupation', 0.024925895), ('Native_country', 0.013761174), ('Workclass', 0.013541776), ('Race', 0.001439816), ('Hours_per_week', 0.000518378), ('Sex', 0.000483262)]"
"[('Marital_status', 0.16072184), ('Education', 0.10941682), ('Age', 0.065072021), ('Occupation', 0.024600942), ('Native_country', 0.013757926), ('Workclass', 0.013651388), ('Race', 0.001374093), ('Sex', 0.000529754), ('Hours_per_week', 0.000501217)]"
"[('Marital_status', 0.160772985), ('Education', 0.109607053), ('Age', 0.065097709), ('Occupation', 0.024445995), ('Native_country', 0.0137285), ('Workclass', 0.01352298), ('Race', 0.00144354), ('Sex', 0.000506021), ('Hours_per_week', 0.000382245)]"
"[('Marital_status', 0.158313669), ('Education', 0.108299953), ('Age', 0.064790481), ('Occupation', 0.024297153), ('Native_country', 0.014764733), ('Workclass', 0.01376781), ('Race', 0.002212554), ('Sex', 0.001578911), ('Hours_per_week', 0.00122095)]"
"[('Marital_status', 0.160421522), ('Education', 0.109321857), ('Age', 0.065293104), ('Occupation', 0.024973256), ('Native_country', 0.013661844), ('Workclass', 0.013575742), ('Race', 0.00137008), ('Hours_per_week', 0.000670141), ('Sex', 0.000507378)]"
"[('Marital_status', 0.160908713), ('Education', 0.109679579), ('Age', 0.065151065), ('Occupation', 0.02430886), ('Native_country', 0.01362821), ('Workclass', 0.01354103), ('Race', 0.001402165), ('Sex', 0.000494203), ('Hours_per_week', 1.1e-05)]"
"[('Marital_status', 0.160884323), ('Education', 0.109688069), ('Age', 0.065087572), ('Occupation', 0.024321575), ('Native_country', 0.013657348), ('Workclass', 0.0135343), ('Race', 0.001368339), ('Sex', 0.000532898), ('Hours_per_week', 5.89e-05)]"
"[('Marital_status', 0.160929881), ('Education', 0.10967256), ('Age', 0.065140856), ('Occupation', 0.024325465), ('Native_country', 0.013618284), ('Workclass', 0.01354103), ('Race', 0.001408957), ('Sex', 0.000487752), ('Hours_per_week', 3.14e-05)]"
"[('Marital_status', 0.16087854), ('Education', 0.109556202), ('Age', 0.064973345), ('Occupation', 0.024085254), ('Native_country', 0.013855715), ('Workclass', 0.013609374), ('Race', 0.001363702), ('Sex', 0.000652144), ('Hours_per_week', 0.000473905)]"
