0
"[('Education', 0.105387354), ('Age', 0.06796337), ('Occupation', 0.048265337), ('Sex', 0.025626213), ('Workclass', 0.01458709), ('Native_country', 0.013131211), ('Hours_per_week', 0.012806161), ('Race', 0.002378527), ('Marital_status', 0.001652173)]"
"[('Education', 0.105931775), ('Age', 0.068092484), ('Occupation', 0.048608509), ('Sex', 0.025673057), ('Workclass', 0.014426735), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002455913), ('Marital_status', 0.002022772)]"
"[('Education', 0.105266004), ('Age', 0.067535241), ('Occupation', 0.048172505), ('Sex', 0.025603678), ('Workclass', 0.014767876), ('Native_country', 0.013332672), ('Hours_per_week', 0.012957193), ('Race', 0.002262751), ('Marital_status', 0.001802921)]"
"[('Education', 0.105533459), ('Age', 0.068078684), ('Occupation', 0.048242426), ('Sex', 0.025637802), ('Workclass', 0.01458709), ('Native_country', 0.013251066), ('Hours_per_week', 0.012649131), ('Race', 0.002280918), ('Marital_status', 0.002229563)]"
"[('Education', 0.105593898), ('Age', 0.068272559), ('Occupation', 0.048443292), ('Sex', 0.025797869), ('Workclass', 0.014528769), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002436942), ('Marital_status', 0.001689323)]"
"[('Education', 0.105533459), ('Age', 0.068230871), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.002014382)]"
"[('Education', 0.105868935), ('Age', 0.068016676), ('Occupation', 0.048203742), ('Sex', 0.025480123), ('Workclass', 0.014435043), ('Native_country', 0.013289751), ('Hours_per_week', 0.01280681), ('Race', 0.002280918), ('Marital_status', 0.001313029)]"
"[('Education', 0.105533459), ('Age', 0.068336311), ('Occupation', 0.048042207), ('Sex', 0.025742572), ('Workclass', 0.014512863), ('Native_country', 0.013396953), ('Hours_per_week', 0.012544361), ('Race', 0.00233525), ('Marital_status', 0.002232904)]"
"[('Education', 0.105533459), ('Age', 0.068585635), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.000785523)]"
"[('Education', 0.105667109), ('Age', 0.068281147), ('Occupation', 0.048379034), ('Sex', 0.025581143), ('Workclass', 0.01463126), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.00078201)]"
"[('Education', 0.105533459), ('Age', 0.068594904), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.001426144)]"
"[('Education', 0.105533459), ('Age', 0.067665925), ('Occupation', 0.048168822), ('Sex', 0.025422363), ('Workclass', 0.01458709), ('Native_country', 0.013299672), ('Hours_per_week', 0.01286457), ('Marital_status', 0.002972556), ('Race', 0.002305917)]"
"[('Education', 0.105533459), ('Age', 0.068223017), ('Occupation', 0.048281352), ('Sex', 0.025657944), ('Workclass', 0.01458709), ('Native_country', 0.012916932), ('Hours_per_week', 0.012803564), ('Race', 0.002401551), ('Marital_status', 0.000701009)]"
