0
"[('Marital_status', 0.158232091), ('Education', 0.107139306), ('Age', 0.065510852), ('Occupation', 0.025099217), ('Native_country', 0.018040397), ('Workclass', 0.015129315), ('Hours_per_week', 0.011549894), ('Race', 0.001871973), ('Sex', 0.000469189)]"
"[('Marital_status', 0.160829103), ('Education', 0.109599969), ('Age', 0.064429824), ('Occupation', 0.023468395), ('Workclass', 0.013712229), ('Hours_per_week', 0.010069454), ('Native_country', 0.008487408), ('Race', 0.001779851), ('Sex', 0.000754999)]"
"[('Marital_status', 0.157064695), ('Education', 0.107890694), ('Age', 0.064322193), ('Occupation', 0.023884394), ('Workclass', 0.014331743), ('Hours_per_week', 0.011178855), ('Native_country', 0.00796007), ('Race', 0.003039962), ('Sex', 0.001836057)]"
"[('Marital_status', 0.160605881), ('Education', 0.109376747), ('Age', 0.065259385), ('Occupation', 0.024206808), ('Workclass', 0.01354103), ('Native_country', 0.010534495), ('Hours_per_week', 0.00998504), ('Race', 0.001615902), ('Sex', 0.000488171)]"
"[('Marital_status', 0.160513291), ('Education', 0.108770226), ('Age', 0.06389881), ('Occupation', 0.023254519), ('Workclass', 0.014086378), ('Native_country', 0.010967708), ('Hours_per_week', 0.010451455), ('Race', 0.002384831), ('Sex', 0.001000823)]"
"[('Marital_status', 0.156324627), ('Education', 0.108145658), ('Age', 0.062901047), ('Occupation', 0.023770073), ('Workclass', 0.013910279), ('Hours_per_week', 0.011769392), ('Native_country', 0.011513952), ('Race', 0.003719149), ('Sex', 0.002431674)]"
"[('Marital_status', 0.163894954), ('Education', 0.109440822), ('Age', 0.062175783), ('Occupation', 0.024557202), ('Native_country', 0.014378672), ('Workclass', 0.01354103), ('Hours_per_week', 0.009873018), ('Race', 0.001408957), ('Sex', 0.000392669)]"
"[('Marital_status', 0.158158953), ('Education', 0.107814336), ('Age', 0.064723129), ('Occupation', 0.023261192), ('Workclass', 0.014275286), ('Native_country', 0.01369979), ('Hours_per_week', 0.011211765), ('Race', 0.002824949), ('Sex', 0.001537637)]"
"[('Marital_status', 0.160543265), ('Education', 0.110438947), ('Age', 0.06430983), ('Occupation', 0.025202324), ('Workclass', 0.013110576), ('Native_country', 0.01146407), ('Hours_per_week', 0.009829045), ('Race', 0.001346895), ('Sex', 0.000503554)]"
"[('Marital_status', 0.159614068), ('Education', 0.108406225), ('Age', 0.066216081), ('Occupation', 0.025613091), ('Native_country', 0.015335966), ('Workclass', 0.013760327), ('Hours_per_week', 0.009777935), ('Race', 0.001408957), ('Sex', 0.000487752)]"
"[('Marital_status', 0.157623578), ('Education', 0.109199576), ('Age', 0.062518169), ('Occupation', 0.022949994), ('Workclass', 0.014164996), ('Native_country', 0.012629793), ('Hours_per_week', 0.01118985), ('Race', 0.003329565), ('Sex', 0.002200579)]"
"[('Marital_status', 0.162948943), ('Education', 0.111274925), ('Age', 0.0619672), ('Occupation', 0.025037122), ('Native_country', 0.015831753), ('Workclass', 0.012381601), ('Hours_per_week', 0.009777935), ('Race', 0.001408957), ('Sex', 0.000487752)]"
"[('Marital_status', 0.160196772), ('Education', 0.112311803), ('Age', 0.062636352), ('Occupation', 0.02477826), ('Workclass', 0.013434479), ('Native_country', 0.012888613), ('Hours_per_week', 0.009777935), ('Race', 0.001661083), ('Sex', 0.000487752)]"
"[('Marital_status', 0.159057876), ('Education', 0.107397987), ('Age', 0.064392334), ('Occupation', 0.023875019), ('Workclass', 0.01411327), ('Native_country', 0.01145995), ('Hours_per_week', 0.01124851), ('Race', 0.002672337), ('Sex', 0.001307369)]"
"[('Marital_status', 0.158668443), ('Education', 0.107356743), ('Age', 0.065494526), ('Occupation', 0.024297091), ('Workclass', 0.014254325), ('Hours_per_week', 0.01072482), ('Native_country', 0.007702267), ('Race', 0.002482378), ('Sex', 0.00105661)]"
"[('Marital_status', 0.157193442), ('Education', 0.10640713), ('Age', 0.064652148), ('Occupation', 0.024866264), ('Workclass', 0.015194554), ('Hours_per_week', 0.01150603), ('Native_country', 0.011362341), ('Race', 0.002760779), ('Sex', 0.001417405)]"
