0
"[('Marital_status', 0.159869513), ('Education', 0.108640379), ('Age', 0.065683302), ('Native_country', 0.013728853), ('Workclass', 0.013662802), ('Hours_per_week', 0.012671942), ('Occupation', 0.003927809), ('Race', 0.001852459), ('Sex', 0.000705572)]"
"[('Marital_status', 0.160658246), ('Education', 0.108047063), ('Age', 0.065412491), ('Native_country', 0.013547907), ('Workclass', 0.01354103), ('Hours_per_week', 0.013353114), ('Occupation', 0.004379726), ('Race', 0.002148544), ('Sex', 0.000502576)]"
"[('Marital_status', 0.16047207), ('Education', 0.109258501), ('Age', 0.065063357), ('Native_country', 0.014154451), ('Workclass', 0.013768867), ('Hours_per_week', 0.011678786), ('Occupation', 0.003838948), ('Race', 0.001695829), ('Sex', 0.000827202)]"
"[('Marital_status', 0.160541626), ('Education', 0.110266356), ('Age', 0.06417108), ('Native_country', 0.013630208), ('Workclass', 0.013336954), ('Hours_per_week', 0.012671432), ('Occupation', 0.005188996), ('Race', 0.001728694), ('Sex', 0.000689357)]"
"[('Marital_status', 0.159208047), ('Education', 0.107702212), ('Age', 0.064654288), ('Native_country', 0.014834833), ('Workclass', 0.014326394), ('Hours_per_week', 0.012197057), ('Occupation', 0.004985003), ('Race', 0.002314325), ('Sex', 0.001040582)]"
"[('Marital_status', 0.159277802), ('Education', 0.108753059), ('Age', 0.065145477), ('Native_country', 0.014180328), ('Workclass', 0.013663043), ('Hours_per_week', 0.01244958), ('Occupation', 0.003920876), ('Race', 0.002043962), ('Sex', 0.000876668)]"
"[('Marital_status', 0.159380031), ('Education', 0.108213022), ('Age', 0.065774277), ('Workclass', 0.014395334), ('Native_country', 0.013547907), ('Hours_per_week', 0.012795334), ('Occupation', 0.006681129), ('Race', 0.002613768), ('Sex', 0.000491299)]"
"[('Marital_status', 0.160793364), ('Education', 0.110322097), ('Age', 0.064088062), ('Native_country', 0.01385921), ('Workclass', 0.013597245), ('Hours_per_week', 0.012280764), ('Occupation', 0.003639622), ('Race', 0.001612164), ('Sex', 0.000652851)]"
"[('Marital_status', 0.161949487), ('Education', 0.108429722), ('Age', 0.064103641), ('Native_country', 0.013811044), ('Workclass', 0.013558639), ('Hours_per_week', 0.012689709), ('Occupation', 0.005163768), ('Race', 0.00206732), ('Sex', 0.00060141)]"
"[('Marital_status', 0.159791091), ('Education', 0.110087623), ('Age', 0.064725169), ('Native_country', 0.013579231), ('Workclass', 0.013569841), ('Hours_per_week', 0.012610462), ('Occupation', 0.005340294), ('Race', 0.002279625), ('Sex', 0.00056793)]"
"[('Marital_status', 0.157647118), ('Education', 0.107822368), ('Age', 0.064693558), ('Native_country', 0.015052032), ('Workclass', 0.014022321), ('Hours_per_week', 0.012595041), ('Occupation', 0.003081316), ('Race', 0.002629614), ('Sex', 0.001422881)]"
"[('Marital_status', 0.160583708), ('Education', 0.109287793), ('Age', 0.065404456), ('Native_country', 0.013816445), ('Workclass', 0.013623603), ('Hours_per_week', 0.01193899), ('Occupation', 0.002974306), ('Race', 0.001889603), ('Sex', 0.000666373)]"
"[('Marital_status', 0.160329706), ('Education', 0.109019827), ('Age', 0.065020904), ('Native_country', 0.013547907), ('Workclass', 0.013364951), ('Hours_per_week', 0.012972638), ('Occupation', 0.005734656), ('Race', 0.002449477), ('Sex', 0.000505561)]"
"[('Marital_status', 0.159220662), ('Education', 0.109694075), ('Age', 0.065073847), ('Hours_per_week', 0.013626985), ('Native_country', 0.013547907), ('Workclass', 0.013403531), ('Occupation', 0.005365805), ('Race', 0.002158309), ('Sex', 0.000485655)]"
"[('Marital_status', 0.160765897), ('Education', 0.109653401), ('Age', 0.064939047), ('Native_country', 0.013547907), ('Workclass', 0.013527535), ('Hours_per_week', 0.012143608), ('Occupation', 0.002983982), ('Race', 0.001683982), ('Sex', 0.000686943)]"
"[('Marital_status', 0.160650846), ('Education', 0.109525965), ('Age', 0.065151037), ('Native_country', 0.013809542), ('Workclass', 0.013575365), ('Hours_per_week', 0.012103435), ('Occupation', 0.001854902), ('Race', 0.001606524), ('Sex', 0.000657991)]"
"[('Marital_status', 0.160916341), ('Education', 0.109715519), ('Age', 0.064952311), ('Workclass', 0.013714803), ('Native_country', 0.013547907), ('Hours_per_week', 0.011916478), ('Occupation', 0.002522994), ('Race', 0.001698256), ('Sex', 0.000749356)]"
"[('Marital_status', 0.160280548), ('Education', 0.109147106), ('Age', 0.065493431), ('Native_country', 0.01400757), ('Workclass', 0.013677209), ('Hours_per_week', 0.012210069), ('Occupation', 0.003978189), ('Race', 0.001514481), ('Sex', 0.00081567)]"
"[('Marital_status', 0.157622624), ('Education', 0.106998994), ('Age', 0.065336272), ('Native_country', 0.014894461), ('Workclass', 0.014436007), ('Hours_per_week', 0.01281321), ('Occupation', 0.004060781), ('Race', 0.002458358), ('Sex', 0.00134497)]"
"[('Marital_status', 0.16012204), ('Education', 0.109151904), ('Age', 0.064907359), ('Native_country', 0.013813474), ('Workclass', 0.013582246), ('Hours_per_week', 0.012038697), ('Occupation', 0.004022951), ('Race', 0.002029748), ('Sex', 0.00082438)]"
"[('Marital_status', 0.160385401), ('Education', 0.109156267), ('Age', 0.065081877), ('Native_country', 0.013977358), ('Workclass', 0.013748857), ('Hours_per_week', 0.011764746), ('Occupation', 0.007800728), ('Race', 0.001909207), ('Sex', 0.000791627)]"
"[('Marital_status', 0.160500591), ('Education', 0.110652571), ('Age', 0.06381072), ('Workclass', 0.013919342), ('Native_country', 0.013787118), ('Hours_per_week', 0.012170349), ('Occupation', 0.00477111), ('Race', 0.001694251), ('Sex', 0.000676029)]"
"[('Marital_status', 0.159974873), ('Education', 0.108037096), ('Age', 0.065742066), ('Hours_per_week', 0.013861293), ('Native_country', 0.013587407), ('Workclass', 0.013254733), ('Occupation', 0.004393935), ('Race', 0.002202328), ('Sex', 0.000551177)]"
"[('Marital_status', 0.160375304), ('Education', 0.109638689), ('Age', 0.064997382), ('Native_country', 0.013985498), ('Workclass', 0.013636497), ('Hours_per_week', 0.012009522), ('Occupation', 0.002442699), ('Race', 0.001631211), ('Sex', 0.000826803)]"
"[('Marital_status', 0.160526818), ('Education', 0.109297684), ('Age', 0.065290868), ('Workclass', 0.013794081), ('Native_country', 0.01373929), ('Hours_per_week', 0.012003124), ('Occupation', 0.002109206), ('Race', 0.001818319), ('Sex', 0.000740788)]"
"[('Marital_status', 0.161077728), ('Education', 0.110003759), ('Age', 0.06410065), ('Workclass', 0.013901328), ('Native_country', 0.013626463), ('Hours_per_week', 0.011837923), ('Occupation', 0.001990382), ('Race', 0.001763265), ('Sex', 0.000833145)]"
"[('Marital_status', 0.158621199), ('Education', 0.107734443), ('Age', 0.065350805), ('Workclass', 0.014252371), ('Native_country', 0.014058241), ('Hours_per_week', 0.01244406), ('Occupation', 0.00548988), ('Race', 0.002550824), ('Sex', 0.001154015)]"
"[('Marital_status', 0.161266684), ('Education', 0.109001707), ('Age', 0.064804053), ('Native_country', 0.013825978), ('Workclass', 0.01354103), ('Hours_per_week', 0.012120399), ('Occupation', 0.003870217), ('Race', 0.002101603), ('Sex', 0.000549517)]"
"[('Marital_status', 0.160742578), ('Education', 0.110254141), ('Age', 0.064078358), ('Workclass', 0.014050135), ('Native_country', 0.013581742), ('Hours_per_week', 0.011969011), ('Occupation', 0.004045573), ('Race', 0.001880752), ('Sex', 0.000654256)]"
"[('Marital_status', 0.159745314), ('Education', 0.1096415), ('Age', 0.064844904), ('Native_country', 0.014714976), ('Workclass', 0.01377043), ('Hours_per_week', 0.011918022), ('Occupation', 0.004690286), ('Race', 0.002024218), ('Sex', 0.000551608)]"
"[('Marital_status', 0.161581622), ('Education', 0.109331172), ('Age', 0.064489114), ('Native_country', 0.013747848), ('Workclass', 0.013510365), ('Hours_per_week', 0.01189973), ('Occupation', 0.005053917), ('Race', 0.002093689), ('Sex', 0.000557431)]"
"[('Marital_status', 0.158830089), ('Education', 0.108562512), ('Age', 0.065035153), ('Native_country', 0.014458067), ('Workclass', 0.013804762), ('Hours_per_week', 0.01234237), ('Occupation', 0.003154095), ('Race', 0.002156929), ('Sex', 0.001040883)]"
"[('Marital_status', 0.160489938), ('Education', 0.110882472), ('Age', 0.063513529), ('Workclass', 0.013986632), ('Native_country', 0.013649901), ('Hours_per_week', 0.011913707), ('Occupation', 0.003319605), ('Race', 0.002133391), ('Sex', 0.000641401)]"
"[('Marital_status', 0.16014806), ('Education', 0.109504618), ('Age', 0.065369912), ('Native_country', 0.013547907), ('Workclass', 0.013462444), ('Hours_per_week', 0.012261688), ('Occupation', 0.003763159), ('Race', 0.002340895), ('Sex', 0.000575447)]"
"[('Marital_status', 0.160667051), ('Education', 0.109602356), ('Age', 0.065249219), ('Native_country', 0.013547907), ('Workclass', 0.013531058), ('Hours_per_week', 0.012196347), ('Occupation', 0.006742431), ('Race', 0.001869151), ('Sex', 0.000547882)]"
"[('Marital_status', 0.160646107), ('Education', 0.10961638), ('Age', 0.064589582), ('Workclass', 0.014061071), ('Native_country', 0.013789493), ('Hours_per_week', 0.011895802), ('Race', 0.001666419), ('Occupation', 0.00140073), ('Sex', 0.000830519)]"
"[('Marital_status', 0.160782447), ('Education', 0.109509793), ('Age', 0.064411071), ('Native_country', 0.013753225), ('Workclass', 0.01359359), ('Hours_per_week', 0.01258705), ('Occupation', 0.002708614), ('Race', 0.002080562), ('Sex', 0.000493234)]"
"[('Marital_status', 0.160284578), ('Education', 0.109272162), ('Age', 0.065213937), ('Workclass', 0.013896535), ('Native_country', 0.013547907), ('Hours_per_week', 0.012461534), ('Occupation', 0.004834211), ('Race', 0.002023615), ('Sex', 0.000510704)]"
"[('Marital_status', 0.161184636), ('Education', 0.109557101), ('Age', 0.064729278), ('Workclass', 0.013697854), ('Native_country', 0.013547907), ('Hours_per_week', 0.011916478), ('Occupation', 0.002911356), ('Race', 0.001837095), ('Sex', 0.000740624)]"
"[('Marital_status', 0.16041775), ('Education', 0.108765895), ('Age', 0.064768794), ('Native_country', 0.014211275), ('Workclass', 0.013849199), ('Hours_per_week', 0.01207652), ('Occupation', 0.002734254), ('Race', 0.001904821), ('Sex', 0.000640694)]"
"[('Marital_status', 0.160901428), ('Education', 0.1094535), ('Age', 0.064701325), ('Native_country', 0.013808624), ('Workclass', 0.013768867), ('Hours_per_week', 0.011814162), ('Occupation', 0.002693127), ('Race', 0.001711283), ('Sex', 0.000852349)]"
"[('Marital_status', 0.161675902), ('Education', 0.109362991), ('Age', 0.064310057), ('Workclass', 0.013625808), ('Native_country', 0.013547907), ('Hours_per_week', 0.012048186), ('Occupation', 0.003419913), ('Race', 0.001971542), ('Sex', 0.000668578)]"
"[('Marital_status', 0.160136179), ('Education', 0.109459941), ('Age', 0.065419439), ('Native_country', 0.013547907), ('Workclass', 0.013503253), ('Hours_per_week', 0.012556095), ('Occupation', 0.003735021), ('Race', 0.00200715), ('Sex', 0.000581008)]"
"[('Marital_status', 0.159307198), ('Education', 0.10858759), ('Age', 0.06588069), ('Workclass', 0.013914353), ('Native_country', 0.013796443), ('Hours_per_week', 0.01306495), ('Occupation', 0.004835515), ('Race', 0.002091875), ('Sex', 0.000567872)]"
"[('Marital_status', 0.160887315), ('Education', 0.109993032), ('Age', 0.064339113), ('Workclass', 0.013744596), ('Native_country', 0.013649604), ('Hours_per_week', 0.011815773), ('Occupation', 0.003020869), ('Race', 0.002041906), ('Sex', 0.000739632)]"
"[('Marital_status', 0.159534362), ('Education', 0.10929174), ('Age', 0.06479302), ('Native_country', 0.014266032), ('Workclass', 0.013592011), ('Hours_per_week', 0.012247922), ('Occupation', 0.00277051), ('Race', 0.001986099), ('Sex', 0.000793924)]"
"[('Marital_status', 0.160566705), ('Education', 0.108724309), ('Age', 0.06526837), ('Workclass', 0.013711629), ('Native_country', 0.013547907), ('Hours_per_week', 0.012769361), ('Occupation', 0.003090274), ('Race', 0.002071895), ('Sex', 0.000550795)]"
"[('Marital_status', 0.161477018), ('Education', 0.109610993), ('Age', 0.064436896), ('Workclass', 0.013697854), ('Native_country', 0.013547907), ('Hours_per_week', 0.011916478), ('Occupation', 0.005805678), ('Race', 0.001783202), ('Sex', 0.000740624)]"
"[('Marital_status', 0.159015371), ('Education', 0.108455873), ('Age', 0.066291503), ('Native_country', 0.014172431), ('Hours_per_week', 0.014012067), ('Workclass', 0.012589037), ('Occupation', 0.006638062), ('Race', 0.002105871), ('Sex', 0.000568819)]"
"[('Marital_status', 0.161846051), ('Education', 0.109326876), ('Age', 0.064223448), ('Native_country', 0.013547907), ('Workclass', 0.013542268), ('Hours_per_week', 0.012072064), ('Occupation', 0.003583026), ('Race', 0.00206732), ('Sex', 0.000585038)]"
