0
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.064926596), ('Occupation', 0.024144181), ('Native_country', 0.013792896), ('Workclass', 0.01354103), ('Hours_per_week', 0.009682606), ('Race', 0.001367526), ('Sex', 0.000537351)]"
"[('Marital_status', 0.160783176), ('Education', 0.109566469), ('Age', 0.065131301), ('Occupation', 0.024304434), ('Native_country', 0.013669209), ('Workclass', 0.013504351), ('Hours_per_week', 0.00981624), ('Sex', 0.000528918), ('Race', 0.000192088)]"
"[('Marital_status', 0.160927838), ('Education', 0.109687207), ('Age', 0.064997788), ('Occupation', 0.024310817), ('Workclass', 0.013637438), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.001412915), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160023518), ('Education', 0.109781711), ('Age', 0.065113906), ('Occupation', 0.025203641), ('Native_country', 0.013518469), ('Workclass', 0.013487017), ('Hours_per_week', 0.009794622), ('Race', 0.001907782), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160773799), ('Education', 0.109544665), ('Age', 0.065146009), ('Occupation', 0.024370721), ('Workclass', 0.01369196), ('Native_country', 0.01359201), ('Hours_per_week', 0.009756039), ('Race', 0.000953083), ('Sex', 0.000580807)]"
"[('Marital_status', 0.160783878), ('Education', 0.109498665), ('Age', 0.065286859), ('Occupation', 0.024499359), ('Workclass', 0.01354103), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.001040805), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160812071), ('Education', 0.109025415), ('Age', 0.065258666), ('Occupation', 0.02497261), ('Workclass', 0.01354103), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.001410991), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160502689), ('Education', 0.109273556), ('Age', 0.065421056), ('Occupation', 0.024724469), ('Workclass', 0.013688022), ('Native_country', 0.013570135), ('Hours_per_week', 0.009742956), ('Race', 0.002511102), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160443594), ('Education', 0.109157618), ('Age', 0.065171783), ('Occupation', 0.024141771), ('Native_country', 0.014027053), ('Workclass', 0.01354103), ('Hours_per_week', 0.009937346), ('Race', 0.00076231), ('Sex', 0.000580455)]"
"[('Marital_status', 0.160343186), ('Education', 0.109968624), ('Age', 0.065005465), ('Occupation', 0.024611943), ('Native_country', 0.013546462), ('Workclass', 0.013408545), ('Hours_per_week', 0.010033748), ('Race', 0.002306799), ('Sex', 0.000538038)]"
"[('Marital_status', 0.160503046), ('Education', 0.108835029), ('Age', 0.065402073), ('Occupation', 0.025039579), ('Workclass', 0.013659793), ('Native_country', 0.013575218), ('Hours_per_week', 0.009905098), ('Race', 0.000884593), ('Sex', 0.000536173)]"
