0
"[('Marital_status', 0.16118282), ('Education', 0.109399716), ('Age', 0.064887917), ('Occupation', 0.024598309), ('Workclass', 0.01354103), ('Native_country', 0.013451533), ('Hours_per_week', 0.010097431), ('Race', 0.00134609), ('Sex', 0.000607941)]"
"[('Marital_status', 0.160902688), ('Education', 0.109518037), ('Age', 0.064927766), ('Occupation', 0.024310557), ('Workclass', 0.013623232), ('Native_country', 0.013523701), ('Hours_per_week', 0.010149809), ('Race', 0.001412112), ('Sex', 0.000190596)]"
"[('Marital_status', 0.161357055), ('Education', 0.109687207), ('Age', 0.064495953), ('Occupation', 0.024181702), ('Workclass', 0.01354103), ('Native_country', 0.013510526), ('Hours_per_week', 0.010099623), ('Race', 0.001414021), ('Sex', 0.000460815)]"
"[('Marital_status', 0.160927992), ('Education', 0.109648698), ('Age', 0.065085429), ('Occupation', 0.02430962), ('Workclass', 0.01354103), ('Native_country', 0.013406294), ('Hours_per_week', 0.010114651), ('Race', 0.001413815), ('Sex', 7.19e-05)]"
"[('Marital_status', 0.160904562), ('Education', 0.109661047), ('Age', 0.065143999), ('Occupation', 0.024346361), ('Workclass', 0.013553823), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 2.38e-05)]"
"[('Marital_status', 0.160870639), ('Education', 0.1097233), ('Age', 0.065049806), ('Occupation', 0.024290634), ('Workclass', 0.013535172), ('Native_country', 0.013423932), ('Hours_per_week', 0.010134371), ('Race', 0.001405173), ('Sex', 8.54e-05)]"
"[('Marital_status', 0.160672829), ('Education', 0.109443695), ('Age', 0.065397908), ('Occupation', 0.024554329), ('Workclass', 0.01354103), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Sex', 0.001737666), ('Race', 0.001408957)]"
"[('Marital_status', 0.160795617), ('Education', 0.109634064), ('Age', 0.065181236), ('Occupation', 0.024337383), ('Workclass', 0.013567333), ('Native_country', 0.013431147), ('Hours_per_week', 0.010137332), ('Race', 0.001420733), ('Sex', 0.000139402)]"
"[('Marital_status', 0.160810018), ('Education', 0.109785628), ('Age', 0.065006668), ('Occupation', 0.024257927), ('Workclass', 0.013500755), ('Native_country', 0.013499729), ('Hours_per_week', 0.010153297), ('Race', 0.001401242), ('Sex', 0.000258417)]"
"[('Marital_status', 0.160875485), ('Education', 0.109646351), ('Age', 0.065145617), ('Occupation', 0.02427342), ('Workclass', 0.013590665), ('Native_country', 0.013338527), ('Hours_per_week', 0.010161479), ('Race', 0.001473302), ('Sex', 0.001298803)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.065151496), ('Occupation', 0.024302553), ('Workclass', 0.01354103), ('Native_country', 0.01334748), ('Hours_per_week', 0.010138618), ('Race', 0.001417222), ('Sex', 1.05e-05)]"
"[('Marital_status', 0.160400194), ('Education', 0.109383299), ('Age', 0.065273602), ('Occupation', 0.024844238), ('Workclass', 0.013708459), ('Native_country', 0.013375252), ('Hours_per_week', 0.010110846), ('Race', 0.001408957), ('Sex', 0.000852075)]"
"[('Marital_status', 0.160894703), ('Education', 0.109558531), ('Age', 0.065176034), ('Occupation', 0.024391892), ('Workclass', 0.01354103), ('Native_country', 0.013416073), ('Hours_per_week', 0.010129855), ('Race', 0.001396728), ('Sex', 0.000141483)]"
"[('Marital_status', 0.160871421), ('Education', 0.109642287), ('Age', 0.065199316), ('Occupation', 0.024355737), ('Workclass', 0.01354103), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 0.000114763)]"
"[('Marital_status', 0.160871421), ('Education', 0.109642287), ('Age', 0.065199316), ('Occupation', 0.024355737), ('Workclass', 0.01354103), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 0.000114763)]"
"[('Marital_status', 0.160760816), ('Education', 0.109599184), ('Age', 0.065144394), ('Occupation', 0.024368926), ('Native_country', 0.013598227), ('Workclass', 0.013473529), ('Hours_per_week', 0.009948004), ('Race', 0.00144624), ('Sex', 0.000736991)]"
"[('Marital_status', 0.160947023), ('Education', 0.109687207), ('Age', 0.065120715), ('Occupation', 0.024310817), ('Workclass', 0.01354103), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 3.17e-05)]"
"[('Marital_status', 0.160688949), ('Education', 0.109425022), ('Age', 0.065128985), ('Occupation', 0.024326175), ('Native_country', 0.013588699), ('Workclass', 0.013559017), ('Hours_per_week', 0.010147529), ('Race', 0.001405655), ('Sex', 0.000361995)]"
"[('Marital_status', 0.161045233), ('Education', 0.109682705), ('Age', 0.064945347), ('Occupation', 0.024315319), ('Workclass', 0.01354103), ('Native_country', 0.01340263), ('Hours_per_week', 0.010083467), ('Race', 0.001408957), ('Sex', 0.000175462)]"
"[('Marital_status', 0.160849766), ('Education', 0.109744373), ('Age', 0.065095827), ('Occupation', 0.024377392), ('Workclass', 0.013542433), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 0.00014075)]"
"[('Marital_status', 0.160479259), ('Education', 0.109220454), ('Age', 0.065107093), ('Occupation', 0.023806518), ('Native_country', 0.013794506), ('Workclass', 0.01354103), ('Hours_per_week', 0.010397796), ('Race', 0.001673804), ('Sex', 0.000884062)]"
"[('Marital_status', 0.160832432), ('Education', 0.109692938), ('Age', 0.065088804), ('Occupation', 0.024307592), ('Workclass', 0.013506997), ('Native_country', 0.013428229), ('Hours_per_week', 0.010147075), ('Race', 0.001406885), ('Sex', 9.43e-05)]"
"[('Marital_status', 0.160366185), ('Education', 0.109189907), ('Age', 0.065053927), ('Occupation', 0.025306847), ('Workclass', 0.013601965), ('Native_country', 0.01347907), ('Hours_per_week', 0.010096294), ('Race', 0.001410652), ('Sex', 0.000808421)]"
"[('Marital_status', 0.160879008), ('Education', 0.109622042), ('Age', 0.065162268), ('Occupation', 0.024352987), ('Workclass', 0.013566347), ('Native_country', 0.013351234), ('Hours_per_week', 0.010192549), ('Race', 0.001378409), ('Sex', 3.59e-05)]"
"[('Marital_status', 0.160906308), ('Education', 0.109679752), ('Age', 0.065139488), ('Occupation', 0.024335559), ('Workclass', 0.013536641), ('Native_country', 0.013368756), ('Hours_per_week', 0.010132969), ('Race', 0.001405373), ('Sex', 3.14e-05)]"
"[('Marital_status', 0.160913536), ('Education', 0.109726434), ('Age', 0.06507284), ('Occupation', 0.024313623), ('Workclass', 0.013544075), ('Native_country', 0.013351703), ('Hours_per_week', 0.010134394), ('Race', 0.001408957), ('Sex', 5.34e-05)]"
"[('Marital_status', 0.160708842), ('Education', 0.109673693), ('Age', 0.065156867), ('Occupation', 0.024505261), ('Workclass', 0.013479147), ('Native_country', 0.013396905), ('Hours_per_week', 0.010149538), ('Race', 0.001434594), ('Sex', 0.000369717)]"
"[('Marital_status', 0.160685202), ('Education', 0.109428806), ('Age', 0.065190748), ('Occupation', 0.024205974), ('Workclass', 0.01354103), ('Native_country', 0.013514183), ('Hours_per_week', 0.010295353), ('Race', 0.001448763), ('Sex', 0.000545003)]"
"[('Marital_status', 0.160916341), ('Education', 0.109694712), ('Age', 0.065149235), ('Occupation', 0.024299774), ('Workclass', 0.01353809), ('Native_country', 0.013349514), ('Hours_per_week', 0.010147337), ('Race', 0.001409247), ('Sex', 1.11e-05)]"
"[('Marital_status', 0.161026995), ('Education', 0.109834641), ('Age', 0.064490538), ('Occupation', 0.024386536), ('Workclass', 0.013530369), ('Native_country', 0.013414198), ('Hours_per_week', 0.010401484), ('Race', 0.001385356), ('Sex', 0.000531251)]"
"[('Marital_status', 0.160911698), ('Education', 0.109682564), ('Age', 0.065159039), ('Occupation', 0.02431546), ('Workclass', 0.01354103), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 1.47e-05)]"
"[('Marital_status', 0.160809572), ('Education', 0.10958445), ('Age', 0.065234797), ('Occupation', 0.024388408), ('Workclass', 0.013518733), ('Native_country', 0.013338527), ('Hours_per_week', 0.010209882), ('Race', 0.001420476), ('Sex', 0.00013153)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.065108943), ('Occupation', 0.024310817), ('Workclass', 0.01354103), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 5.22e-05)]"
"[('Marital_status', 0.160716041), ('Education', 0.109609833), ('Age', 0.065093241), ('Occupation', 0.024647831), ('Workclass', 0.013542846), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 0.000261494)]"
"[('Marital_status', 0.160816329), ('Education', 0.109693123), ('Age', 0.06513887), ('Occupation', 0.024382983), ('Workclass', 0.01355064), ('Native_country', 0.013338527), ('Hours_per_week', 0.010188425), ('Race', 0.001395949), ('Sex', 0.000115619)]"
"[('Marital_status', 0.160837409), ('Education', 0.109699222), ('Age', 0.065110069), ('Occupation', 0.024389749), ('Workclass', 0.013573342), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 0.000253332)]"
"[('Marital_status', 0.161052121), ('Education', 0.109804012), ('Age', 0.06472201), ('Occupation', 0.024365243), ('Workclass', 0.013470933), ('Native_country', 0.013353312), ('Hours_per_week', 0.010132785), ('Race', 0.001435767), ('Sex', 0.000242524)]"
"[('Marital_status', 0.160587181), ('Education', 0.109467482), ('Age', 0.065134032), ('Occupation', 0.024868346), ('Workclass', 0.013552751), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 0.00037371)]"
"[('Marital_status', 0.160526122), ('Education', 0.10954631), ('Age', 0.06449377), ('Occupation', 0.023684791), ('Native_country', 0.013968962), ('Workclass', 0.013424811), ('Hours_per_week', 0.010431321), ('Race', 0.001825126), ('Sex', 0.000754219)]"
"[('Marital_status', 0.160861728), ('Education', 0.109517555), ('Age', 0.065183346), ('Occupation', 0.024419985), ('Workclass', 0.01354103), ('Native_country', 0.013495229), ('Hours_per_week', 0.010047953), ('Race', 0.001412357), ('Sex', 0.000575526)]"
"[('Marital_status', 0.160961643), ('Education', 0.109647627), ('Age', 0.065048096), ('Occupation', 0.024272495), ('Workclass', 0.013521958), ('Native_country', 0.013390235), ('Hours_per_week', 0.010190809), ('Race', 0.001410986), ('Sex', 0.000153664)]"
"[('Marital_status', 0.160909874), ('Education', 0.109653633), ('Age', 0.065146769), ('Occupation', 0.024344392), ('Workclass', 0.013555124), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 2.74e-05)]"
"[('Marital_status', 0.16091727), ('Education', 0.109678061), ('Age', 0.065153467), ('Occupation', 0.024319963), ('Workclass', 0.01354103), ('Native_country', 0.013341852), ('Hours_per_week', 0.010147287), ('Race', 0.001405916), ('Sex', 1.04e-05)]"
"[('Marital_status', 0.16091625), ('Education', 0.109687116), ('Age', 0.065154487), ('Occupation', 0.024310614), ('Workclass', 0.01354103), ('Native_country', 0.013339151), ('Hours_per_week', 0.010146947), ('Race', 0.001409252), ('Sex', 6.25e-07)]"
"[('Marital_status', 0.160777312), ('Education', 0.109582003), ('Age', 0.06513204), ('Occupation', 0.024546994), ('Workclass', 0.013571442), ('Native_country', 0.013371032), ('Hours_per_week', 0.010115066), ('Race', 0.001408957), ('Sex', 0.000234282)]"
"[('Marital_status', 0.160654465), ('Education', 0.109929002), ('Age', 0.064717127), ('Occupation', 0.02418201), ('Native_country', 0.01354731), ('Workclass', 0.013536067), ('Hours_per_week', 0.010290026), ('Race', 0.001448401), ('Sex', 0.001001889)]"
"[('Marital_status', 0.161097794), ('Education', 0.109657187), ('Age', 0.064821674), ('Occupation', 0.024291065), ('Workclass', 0.01354103), ('Native_country', 0.013437488), ('Hours_per_week', 0.010096608), ('Race', 0.00141073), ('Sex', 0.000212629)]"
"[('Marital_status', 0.160923567), ('Education', 0.109679724), ('Age', 0.065140098), ('Occupation', 0.024304602), ('Workclass', 0.01354103), ('Native_country', 0.01335125), ('Hours_per_week', 0.010146995), ('Race', 0.001410508), ('Sex', 1.53e-05)]"
"[('Marital_status', 0.160772991), ('Education', 0.109668461), ('Age', 0.065211644), ('Occupation', 0.024454167), ('Workclass', 0.013502528), ('Native_country', 0.013409533), ('Hours_per_week', 0.010076565), ('Race', 0.001408957), ('Sex', 0.00027537)]"
"[('Marital_status', 0.160896337), ('Education', 0.10968148), ('Age', 0.065151892), ('Occupation', 0.024330821), ('Workclass', 0.013547676), ('Native_country', 0.013338527), ('Hours_per_week', 0.010147571), ('Race', 0.001408957), ('Sex', 2.14e-05)]"
"[('Marital_status', 0.160863809), ('Education', 0.109677447), ('Age', 0.065066596), ('Occupation', 0.024305708), ('Workclass', 0.013520379), ('Native_country', 0.013427263), ('Hours_per_week', 0.010149309), ('Race', 0.001408883), ('Sex', 9.07e-05)]"
"[('Marital_status', 0.160914689), ('Education', 0.109684343), ('Age', 0.065136587), ('Occupation', 0.024301699), ('Workclass', 0.013546286), ('Native_country', 0.013346519), ('Hours_per_week', 0.010151455), ('Race', 0.001409063), ('Sex', 1.44e-05)]"
"[('Marital_status', 0.160913609), ('Education', 0.109644804), ('Age', 0.065154224), ('Occupation', 0.02435322), ('Workclass', 0.013543934), ('Native_country', 0.013338527), ('Hours_per_week', 0.010155983), ('Race', 0.001400545), ('Sex', 3.97e-05)]"
