0
"[('Marital_status', 0.154367372), ('Education', 0.111242232), ('Age', 0.064602508), ('Occupation', 0.028689391), ('Native_country', 0.016382092), ('Hours_per_week', 0.012539294), ('Race', 0.004079958), ('Sex', 0.002912702), ('Workclass', 0.002804509)]"
"[('Marital_status', 0.155091962), ('Education', 0.112729303), ('Age', 0.064241454), ('Occupation', 0.028594563), ('Native_country', 0.016151429), ('Hours_per_week', 0.011909532), ('Race', 0.003626522), ('Sex', 0.002470784), ('Workclass', 0.001436097)]"
"[('Marital_status', 0.155095996), ('Education', 0.111384842), ('Age', 0.06463988), ('Occupation', 0.028977747), ('Native_country', 0.016121945), ('Hours_per_week', 0.012108329), ('Race', 0.003834255), ('Sex', 0.002652555), ('Workclass', 0.000994568)]"
"[('Marital_status', 0.155046608), ('Education', 0.111783082), ('Age', 0.064861495), ('Occupation', 0.028652097), ('Native_country', 0.016066379), ('Hours_per_week', 0.01202872), ('Race', 0.003787196), ('Sex', 0.002589971), ('Workclass', 0.002307868)]"
"[('Marital_status', 0.154758459), ('Education', 0.111259033), ('Age', 0.064373611), ('Occupation', 0.028893715), ('Native_country', 0.016330641), ('Hours_per_week', 0.012318169), ('Race', 0.004020668), ('Sex', 0.002861251), ('Workclass', 0.000661494)]"
"[('Marital_status', 0.154542366), ('Education', 0.111533909), ('Age', 0.064230214), ('Occupation', 0.028771934), ('Native_country', 0.016469137), ('Hours_per_week', 0.01232638), ('Race', 0.004018908), ('Sex', 0.002829759), ('Workclass', 0.000818967)]"
"[('Marital_status', 0.154311426), ('Education', 0.111291146), ('Age', 0.064473846), ('Occupation', 0.028649456), ('Native_country', 0.016292748), ('Hours_per_week', 0.012530315), ('Race', 0.004093201), ('Sex', 0.002994722), ('Workclass', 0.000773056)]"
"[('Marital_status', 0.154422609), ('Education', 0.111149012), ('Age', 0.064648199), ('Occupation', 0.028864927), ('Native_country', 0.016403197), ('Hours_per_week', 0.012389635), ('Race', 0.004030689), ('Sex', 0.002882147), ('Workclass', 0.000219459)]"
"[('Marital_status', 0.154058912), ('Education', 0.111720794), ('Age', 0.063963524), ('Occupation', 0.028806896), ('Native_country', 0.016283848), ('Hours_per_week', 0.012427438), ('Race', 0.00424038), ('Sex', 0.003026496), ('Workclass', 0.000822899)]"
"[('Marital_status', 0.154516438), ('Education', 0.111416715), ('Age', 0.064398225), ('Occupation', 0.028362365), ('Native_country', 0.016367635), ('Hours_per_week', 0.012385574), ('Race', 0.004109758), ('Sex', 0.002923662), ('Workclass', 0.000944456)]"
"[('Marital_status', 0.154710777), ('Education', 0.111144375), ('Age', 0.064527984), ('Occupation', 0.028932239), ('Native_country', 0.016415932), ('Hours_per_week', 0.012285704), ('Race', 0.003969211), ('Sex', 0.002829325), ('Workclass', 0.001374994)]"
"[('Marital_status', 0.154575308), ('Education', 0.111485184), ('Age', 0.064322971), ('Occupation', 0.028563755), ('Native_country', 0.016396661), ('Hours_per_week', 0.012253763), ('Race', 0.004116543), ('Sex', 0.002888361), ('Workclass', 0.000885837)]"
