Age,Workclass,Education,Marital_status,Occupation,Race,Sex,Hours_per_week,Native_country
0.000568434,0.021653266,0.108640884,0.194538879,0.024314654,0.004500904,0.00347698,0.009856312,0.016042299
0.000754676,0.021815468,0.10854484,0.194554587,0.024124263,0.004559333,0.003453959,0.009937311,0.015929601
0.001119894,0.021506907,0.108944047,0.195631307,0.023962869,0.004341951,0.003360105,0.009604569,0.015910974
0.000163286,0.021748559,0.108541743,0.19458799,0.024281346,0.004518481,0.003498693,0.009839795,0.015975187
0.000434548,0.021794954,0.108615583,0.194739175,0.024049697,0.004538819,0.003455303,0.009836253,0.015879372
7.28E-06,0.021777283,0.10858723,0.194717095,0.024176135,0.004520109,0.00350204,0.009817417,0.015919362
6.99E-05,0.021782128,0.108590595,0.194659514,0.024210902,0.004525994,0.003493675,0.009824343,0.015900601
5.90E-05,0.021758557,0.108581536,0.194768447,0.024146853,0.004521958,0.0035014,0.009819367,0.015891333
0.000120113,0.021780473,0.108681202,0.194924272,0.024196922,0.004474911,0.003435746,0.009771825,0.01587163
0.000962411,0.021784865,0.108667239,0.194275861,0.024213715,0.004528731,0.003483827,0.009783087,0.015837804
0.00032393,0.021804635,0.108972657,0.194870517,0.024103913,0.004455077,0.003411815,0.009752431,0.015815922
3.14E-05,0.021776117,0.108652315,0.194702336,0.024181238,0.004508518,0.00348738,0.00982627,0.015910974
0.000305039,0.021675251,0.108702799,0.194675897,0.024198704,0.004512739,0.00348912,0.009800095,0.015911859
4.56E-05,0.02174536,0.108620825,0.194662138,0.024194343,0.004521269,0.00350013,0.009853363,0.015923724
0.0009032,0.021527229,0.10879817,0.195904315,0.024218716,0.004307087,0.003260176,0.00958099,0.015844061
0.000114742,0.021728396,0.108546684,0.194824843,0.024135041,0.004526215,0.003498938,0.009775118,0.015944173
0.000141867,0.021792106,0.108568532,0.194978246,0.024108905,0.004489635,0.003429791,0.009821768,0.015951378
0.000192544,0.021696486,0.108775243,0.195140821,0.024156174,0.004433695,0.003430489,0.009727329,0.015851273
0.000683723,0.02149884,0.108961851,0.196456889,0.02400319,0.004225726,0.00318085,0.009654628,0.015721796
0.000268979,0.021771452,0.108533289,0.194490417,0.024232799,0.004515317,0.003511168,0.009828291,0.01592191
0.000111269,0.021788753,0.108538827,0.194739737,0.024162784,0.004532618,0.00348651,0.009804484,0.015962329
0.000181253,0.021737503,0.108562436,0.194720045,0.024117172,0.004519211,0.003503427,0.009777314,0.015989969
9.65E-06,0.021766979,0.108601508,0.194706755,0.024176458,0.00452036,0.003501558,0.009822902,0.015916056
0.000452614,0.02179216,0.108512464,0.194502795,0.024232415,0.004536026,0.00348657,0.009880088,0.015985285
0.000857445,0.021784338,0.108580298,0.194682868,0.024224163,0.004528204,0.003482,0.00977631,0.015925272
0.000312121,0.021757455,0.108639705,0.19451047,0.02425524,0.004501321,0.00350218,0.009829337,0.015892749
0.000247683,0.021836331,0.108697367,0.194561684,0.024366523,0.004487283,0.003460824,0.009781638,0.01595782
0.000615719,0.021770566,0.10855456,0.194500191,0.024196076,0.004514431,0.003502779,0.009769387,0.015964783
0.000211085,0.021658682,0.108615212,0.194885821,0.024252215,0.004492426,0.003462988,0.009811296,0.015885282
0.000549555,0.021849392,0.108421073,0.195176344,0.024120028,0.004462052,0.003440914,0.009761728,0.015864507
7.42E-06,0.021783088,0.108581654,0.194712768,0.024192075,0.00451946,0.003498679,0.009819136,0.015921916
0.001059881,0.021813851,0.108549451,0.194844348,0.023910996,0.004557717,0.00351534,0.009585086,0.015926606
2.68E-06,0.021779554,0.108582379,0.194710807,0.024179636,0.00452166,0.003501551,0.009821336,0.015926773
0.000743409,0.021769933,0.108191131,0.195185412,0.024296548,0.004442681,0.003421543,0.009774638,0.016115287
0.000623817,0.021798338,0.108176891,0.195007272,0.024436608,0.004498232,0.003466617,0.009797446,0.015959577
9.92E-05,0.021708648,0.108641135,0.194755291,0.02428777,0.004499161,0.003470323,0.009837834,0.015893916
4.85E-05,0.021772777,0.108639748,0.19477743,0.024160667,0.004503928,0.003481553,0.009810842,0.015905146
1.26E-05,0.021767086,0.108594416,0.194704237,0.024175835,0.004520926,0.00350089,0.009821674,0.015924055
