0
"[('Leg', 0.116440681), ('Thigh', 0.089285302), ('Weight', 0.089212824), ('HtShoes', 0.087636401), ('Arm', 0.087385059), ('Seated', 0.087032776), ('Ht', 0.086803261), ('Age', 0.039203699)]"
"[('Leg', 0.114881607), ('Arm', 0.091957334), ('Weight', 0.090635497), ('Thigh', 0.089671626), ('Ht', 0.089302296), ('Seated', 0.088300313), ('HtShoes', 0.088264744), ('Age', 0.014986586)]"
"[('Leg', 0.111788488), ('Arm', 0.090543749), ('Weight', 0.090137096), ('Ht', 0.089055694), ('Thigh', 0.088642061), ('HtShoes', 0.087773934), ('Seated', 0.087762618), ('Age', 0.022296363)]"
"[('Leg', 0.118266803), ('Arm', 0.094143334), ('Weight', 0.092463971), ('Thigh', 0.090810947), ('Ht', 0.090462124), ('Seated', 0.08956901), ('HtShoes', 0.089560589), ('Age', 0.006723222)]"
"[('Leg', 0.115623321), ('Arm', 0.09384095), ('Weight', 0.092384295), ('Ht', 0.091956508), ('Thigh', 0.091348905), ('HtShoes', 0.090743457), ('Seated', 0.090712172), ('Age', 0.000390394)]"
"[('Leg', 0.094397131), ('Age', 0.09165644), ('Ht', 0.091614866), ('HtShoes', 0.085977495), ('Weight', 0.085619383), ('Seated', 0.083822638), ('Arm', 0.083734459), ('Thigh', 0.08317759)]"
"[('Leg', 0.117273711), ('Arm', 0.095299086), ('Weight', 0.093769174), ('Ht', 0.093308294), ('Thigh', 0.092605552), ('Seated', 0.092239202), ('HtShoes', 0.091972009), ('Age', 0.010532971)]"
"[('Leg', 0.115720959), ('Ht', 0.09583287), ('Arm', 0.093746334), ('Weight', 0.093514133), ('HtShoes', 0.092330289), ('Thigh', 0.0910528), ('Seated', 0.090377659), ('Age', 0.010424957)]"
"[('Leg', 0.114992255), ('Arm', 0.097074637), ('Ht', 0.094818969), ('Thigh', 0.093306777), ('HtShoes', 0.09224159), ('Seated', 0.091400952), ('Weight', 0.09111635), ('Age', 0.010048468)]"
"[('Leg', 0.132106958), ('Arm', 0.095863654), ('Thigh', 0.087978676), ('HtShoes', 0.086266373), ('Weight', 0.085412455), ('Ht', 0.085365212), ('Seated', 0.085244783), ('Age', 0.05676189)]"
"[('Leg', 0.112270228), ('Arm', 0.091892571), ('Weight', 0.091460781), ('Ht', 0.090732233), ('Thigh', 0.09068877), ('Seated', 0.089479683), ('HtShoes', 0.089436889), ('Age', 0.014038846)]"
"[('Leg', 0.116154709), ('Arm', 0.093981918), ('Weight', 0.092336991), ('Thigh', 0.090935872), ('Ht', 0.090660061), ('HtShoes', 0.090271346), ('Seated', 0.090233847), ('Age', 0.002425258)]"
