0
"[('Weight', 0.409311418), ('HtShoes', 0.20361918), ('Age', 0.040466586), ('Leg', 0.024035947), ('Thigh', 0.003221009), ('Seated', 0.003179836), ('Arm', 0.001263675), ('Ht', 0.000751361)]"
"[('Weight', 0.413135746), ('HtShoes', 0.20258739), ('Age', 0.042252954), ('Leg', 0.024035947), ('Arm', 0.003630385), ('Seated', 0.003179836), ('Thigh', 0.002490995), ('Ht', 0.000726797)]"
"[('Weight', 0.405559639), ('HtShoes', 0.194984995), ('Age', 0.03762894), ('Leg', 0.026638235), ('Thigh', 0.006723534), ('Seated', 0.004814106), ('Arm', 0.004534905), ('Ht', 0.00448411)]"
"[('Weight', 0.410380349), ('HtShoes', 0.20161231), ('Age', 0.04286372), ('Leg', 0.024461307), ('Seated', 0.003501105), ('Thigh', 0.002760731), ('Arm', 0.000806437), ('Ht', 0.000488817)]"
"[('Weight', 0.374215305), ('HtShoes', 0.154957941), ('Leg', 0.042972016), ('Age', 0.032016486), ('Thigh', 0.021908285), ('Seated', 0.020005195), ('Arm', 0.019659824), ('Ht', 0.019612734)]"
"[('Weight', 0.418227397), ('HtShoes', 0.204975247), ('Age', 0.039865096), ('Leg', 0.024035947), ('Arm', 0.017551936), ('Seated', 0.003179836), ('Thigh', 0.002490995), ('Ht', 0.000726797)]"
"[('Weight', 0.409438617), ('HtShoes', 0.203065857), ('Age', 0.041507918), ('Leg', 0.024035947), ('Seated', 0.003179836), ('Thigh', 0.002893335), ('Arm', 0.000593112), ('Ht', 0.000591026)]"
"[('Weight', 0.407975647), ('HtShoes', 0.204995379), ('Age', 0.037168301), ('Leg', 0.025705701), ('Thigh', 0.004176154), ('Arm', 0.004010975), ('Seated', 0.003410947), ('Ht', 0.000939832)]"
"[('Weight', 0.395977324), ('HtShoes', 0.19404723), ('Age', 0.035464677), ('Leg', 0.029898149), ('Thigh', 0.009739409), ('Arm', 0.007420377), ('Seated', 0.006902464), ('Ht', 0.006640043)]"
"[('Weight', 0.383330199), ('HtShoes', 0.203186574), ('Leg', 0.03435657), ('Age', 0.03304855), ('Arm', 0.02708051), ('Seated', 0.008903773), ('Ht', 0.007916812), ('Thigh', 0.007279896)]"
"[('Weight', 0.39655323), ('HtShoes', 0.214455187), ('Age', 0.031859648), ('Leg', 0.024606526), ('Arm', 0.01062236), ('Thigh', 0.007832267), ('Ht', 0.003433072), ('Seated', 0.003289395)]"
"[('Weight', 0.398622706), ('HtShoes', 0.18236069), ('Age', 0.029786475), ('Leg', 0.026693272), ('Arm', 0.016097869), ('Thigh', 0.013220254), ('Ht', 0.011804546), ('Seated', 0.011408683)]"
"[('Weight', 0.398476545), ('HtShoes', 0.1961706), ('Age', 0.035981202), ('Leg', 0.027634662), ('Thigh', 0.008319231), ('Arm', 0.006763983), ('Seated', 0.006486095), ('Ht', 0.006117486)]"
"[('Weight', 0.41059821), ('HtShoes', 0.226037382), ('Age', 0.04324411), ('Arm', 0.02503633), ('Leg', 0.024035947), ('Seated', 0.003179836), ('Thigh', 0.002490995), ('Ht', 0.000726797)]"
"[('Weight', 0.358390682), ('Arm', 0.064005328), ('HtShoes', 0.054192019), ('Leg', 0.052070509), ('Thigh', 0.048241076), ('Seated', 0.045723111), ('Ht', 0.04539257), ('Age', 0.035903166)]"
"[('Weight', 0.408457375), ('HtShoes', 0.204749472), ('Age', 0.033618207), ('Leg', 0.024035947), ('Arm', 0.009884148), ('Thigh', 0.00771344), ('Seated', 0.003179836), ('Ht', 0.001977017)]"
"[('Weight', 0.411006599), ('HtShoes', 0.203978099), ('Age', 0.042632925), ('Leg', 0.024035947), ('Seated', 0.003179836), ('Arm', 0.003029463), ('Thigh', 0.002490995), ('Ht', 0.000726797)]"
"[('Weight', 0.40613806), ('HtShoes', 0.209692529), ('Age', 0.045909244), ('Leg', 0.024035947), ('Arm', 0.014458279), ('Seated', 0.003179836), ('Thigh', 0.002490995), ('Ht', 0.000726797)]"
"[('Weight', 0.409286876), ('HtShoes', 0.202265205), ('Age', 0.041192395), ('Leg', 0.024715496), ('Seated', 0.003198387), ('Thigh', 0.003158181), ('Arm', 0.000748408), ('Ht', 0.000744255)]"
"[('Weight', 0.404003742), ('HtShoes', 0.195498245), ('Age', 0.038126527), ('Leg', 0.028858154), ('Thigh', 0.006593892), ('Arm', 0.004962129), ('Seated', 0.00413088), ('Ht', 0.004119705)]"
"[('Weight', 0.408246816), ('HtShoes', 0.199448051), ('Age', 0.0426275), ('Leg', 0.029028506), ('Arm', 0.018641103), ('Thigh', 0.002490995), ('Seated', 0.002410556), ('Ht', 0.001047814)]"
"[('Weight', 0.40356332), ('HtShoes', 0.187365424), ('Age', 0.03563262), ('Leg', 0.029921937), ('Thigh', 0.008960466), ('Arm', 0.007254191), ('Seated', 0.006896911), ('Ht', 0.00649656)]"
"[('Weight', 0.394522359), ('HtShoes', 0.183843822), ('Leg', 0.035124312), ('Age', 0.033214996), ('Thigh', 0.011402801), ('Arm', 0.011192192), ('Seated', 0.009352329), ('Ht', 0.008958994)]"
"[('Weight', 0.358816383), ('HtShoes', 0.151892214), ('Leg', 0.050058647), ('Age', 0.033241687), ('Arm', 0.032155367), ('Thigh', 0.025555497), ('Seated', 0.022058163), ('Ht', 0.021989022)]"
"[('Weight', 0.418495781), ('HtShoes', 0.20438492), ('Age', 0.040455423), ('Leg', 0.024035947), ('Arm', 0.010112178), ('Seated', 0.003179836), ('Thigh', 0.002490995), ('Ht', 0.000726797)]"
"[('Weight', 0.422466893), ('HtShoes', 0.201451122), ('Age', 0.043252314), ('Leg', 0.024035947), ('Arm', 0.014030966), ('Seated', 0.003179836), ('Thigh', 0.002490995), ('Ht', 0.001561466)]"
"[('Weight', 0.403141901), ('HtShoes', 0.1906746), ('Age', 0.035211202), ('Leg', 0.026191675), ('Arm', 0.009035089), ('Thigh', 0.008650772), ('Seated', 0.007592505), ('Ht', 0.006953166)]"
"[('Weight', 0.373907201), ('HtShoes', 0.088360144), ('Arm', 0.058177093), ('Leg', 0.045975479), ('Seated', 0.039632305), ('Ht', 0.036767282), ('Thigh', 0.036622293), ('Age', 0.027916417)]"
"[('Weight', 0.410296842), ('HtShoes', 0.206074254), ('Age', 0.037631774), ('Leg', 0.025141059), ('Arm', 0.007461833), ('Seated', 0.003497618), ('Thigh', 0.002819676), ('Ht', 0.000109539)]"
"[('Weight', 0.37153546), ('HtShoes', 0.167008236), ('Leg', 0.040757378), ('Age', 0.027739884), ('Arm', 0.023127025), ('Seated', 0.020556264), ('Thigh', 0.01958083), ('Ht', 0.019071098)]"
