0
"[('Weight', 0.417390243), ('HtShoes', 0.202602226), ('Age', 0.042238118), ('Leg', 0.020242123), ('Ht', 0.00934726), ('Arm', 0.005478732), ('Seated', 0.003883763), ('Thigh', 0.002044106)]"
"[('Weight', 0.40425324), ('HtShoes', 0.20463642), ('Age', 0.026371306), ('Leg', 0.022935879), ('Ht', 0.018326437), ('Thigh', 0.010374392), ('Arm', 0.006292049), ('Seated', 0.005879022)]"
"[('Weight', 0.391335657), ('HtShoes', 0.14625923), ('Leg', 0.039839828), ('Age', 0.031571724), ('Thigh', 0.020215324), ('Arm', 0.019661532), ('Ht', 0.019608672), ('Seated', 0.018941429)]"
"[('Weight', 0.409285808), ('HtShoes', 0.202901524), ('Age', 0.041355109), ('Leg', 0.02026867), ('Arm', 0.006084527), ('Seated', 0.002982678), ('Thigh', 0.00289656), ('Ht', 0.002121181)]"
"[('Weight', 0.392174316), ('HtShoes', 0.150352556), ('Leg', 0.037556645), ('Age', 0.031664075), ('Thigh', 0.019815695), ('Arm', 0.01903654), ('Seated', 0.018063557), ('Ht', 0.017852217)]"
"[('Weight', 0.416306009), ('HtShoes', 0.20199028), ('Age', 0.042272138), ('Leg', 0.027271654), ('Ht', 0.012059667), ('Thigh', 0.003384559), ('Arm', 0.00133858), ('Seated', 0.000231857)]"
"[('Weight', 0.418828607), ('HtShoes', 0.199122682), ('Age', 0.045717662), ('Leg', 0.020242123), ('Ht', 0.00973684), ('Arm', 0.005478732), ('Seated', 0.003883763), ('Thigh', 0.002044106)]"
"[('Weight', 0.394227119), ('HtShoes', 0.200893982), ('Leg', 0.029983141), ('Age', 0.026040067), ('Ht', 0.012740017), ('Thigh', 0.009928882), ('Seated', 0.009020022), ('Arm', 0.008559657)]"
"[('Weight', 0.410025123), ('HtShoes', 0.20274592), ('Age', 0.042094424), ('Leg', 0.020266732), ('Arm', 0.005454123), ('Seated', 0.003883763), ('Thigh', 0.002044106), ('Ht', 2.79e-05)]"
"[('Weight', 0.377002844), ('HtShoes', 0.199027387), ('Leg', 0.032112908), ('Age', 0.025997719), ('Ht', 0.024760806), ('Seated', 0.013825522), ('Arm', 0.013339205), ('Thigh', 0.013029521)]"
"[('Weight', 0.417163655), ('HtShoes', 0.202720224), ('Age', 0.042982186), ('Leg', 0.027271654), ('Ht', 0.008609388), ('Thigh', 0.003384559), ('Arm', 0.00133858), ('Seated', 0.000231857)]"
"[('Weight', 0.406536055), ('HtShoes', 0.204508178), ('Age', 0.036759287), ('Leg', 0.021948566), ('Ht', 0.009425385), ('Thigh', 0.005979674), ('Arm', 0.003772289), ('Seated', 0.003521073)]"
"[('Weight', 0.387697165), ('HtShoes', 0.186119533), ('Leg', 0.036777207), ('Age', 0.032504814), ('Ht', 0.022742887), ('Thigh', 0.012533333), ('Seated', 0.011444253), ('Arm', 0.009848276)]"
"[('Weight', 0.414474319), ('HtShoes', 0.202849525), ('Age', 0.041412892), ('Leg', 0.027271654), ('Ht', 0.005256631), ('Thigh', 0.003384559), ('Arm', 0.00133858), ('Seated', 0.000231857)]"
"[('Weight', 0.373834389), ('HtShoes', 0.162897411), ('Age', 0.036910133), ('Leg', 0.032982137), ('Ht', 0.03128139), ('Arm', 0.022077852), ('Thigh', 0.020826729), ('Seated', 0.018830448)]"
"[('Weight', 0.407955433), ('HtShoes', 0.209869422), ('Ht', 0.031877409), ('Age', 0.031252213), ('Leg', 0.020242123), ('Thigh', 0.006525342), ('Arm', 0.005672766), ('Seated', 0.002927202)]"
"[('Weight', 0.41005642), ('HtShoes', 0.203987447), ('Age', 0.040852897), ('Leg', 0.020242123), ('Arm', 0.005478732), ('Seated', 0.003883763), ('Ht', 0.002054056), ('Thigh', 0.002044106)]"
"[('Weight', 0.37628068), ('HtShoes', 0.188741407), ('Ht', 0.036385325), ('Age', 0.033398603), ('Leg', 0.029400529), ('Seated', 0.01544135), ('Thigh', 0.015158979), ('Arm', 0.014538411)]"
"[('Weight', 0.381568625), ('HtShoes', 0.174969234), ('Leg', 0.035979809), ('Age', 0.03071238), ('Ht', 0.016435134), ('Thigh', 0.016393469), ('Arm', 0.016218834), ('Seated', 0.015469941)]"
"[('Weight', 0.394110917), ('HtShoes', 0.17433639), ('Age', 0.032461248), ('Leg', 0.029272941), ('Thigh', 0.015355688), ('Ht', 0.014616952), ('Arm', 0.014422193), ('Seated', 0.013434921)]"
"[('Weight', 0.405178467), ('HtShoes', 0.203691905), ('Age', 0.039697558), ('Leg', 0.022596762), ('Arm', 0.005306041), ('Thigh', 0.004502486), ('Seated', 0.003144105), ('Ht', 0.002459371)]"
"[('Weight', 0.410087989), ('HtShoes', 0.20265222), ('Age', 0.042126455), ('Leg', 0.020242123), ('Arm', 0.005478732), ('Seated', 0.003883763), ('Thigh', 0.002044106), ('Ht', 6.85e-05)]"
"[('Weight', 0.409914232), ('HtShoes', 0.209500439), ('Age', 0.043085331), ('Leg', 0.020242123), ('Ht', 0.007845357), ('Arm', 0.005478732), ('Seated', 0.003967708), ('Thigh', 0.002044106)]"
"[('Weight', 0.399940335), ('HtShoes', 0.20759077), ('Age', 0.041068765), ('Leg', 0.02542142), ('Ht', 0.009060804), ('Arm', 0.005283622), ('Seated', 0.003289506), ('Thigh', 0.002894114)]"
"[('Weight', 0.436539891), ('HtShoes', 0.197684026), ('Age', 0.047156317), ('Ht', 0.038346808), ('Leg', 0.020242123), ('Arm', 0.005478732), ('Seated', 0.003883763), ('Thigh', 0.002044106)]"
"[('Weight', 0.394663449), ('HtShoes', 0.196533106), ('Age', 0.034356041), ('Leg', 0.026124634), ('Thigh', 0.009893127), ('Arm', 0.009071459), ('Ht', 0.008136961), ('Seated', 0.008133991)]"
"[('Weight', 0.407931718), ('HtShoes', 0.200308279), ('Age', 0.040001019), ('Leg', 0.0230112), ('Arm', 0.00546456), ('Thigh', 0.00454623), ('Seated', 0.00315778), ('Ht', 0.002859264)]"
"[('Weight', 0.398748791), ('HtShoes', 0.173413976), ('Age', 0.034781439), ('Leg', 0.029247522), ('Ht', 0.02768701), ('Arm', 0.014711607), ('Seated', 0.012508949), ('Thigh', 0.011825573)]"
"[('Weight', 0.404055599), ('HtShoes', 0.194674773), ('Age', 0.0361249), ('Leg', 0.023611619), ('Ht', 0.021846223), ('Thigh', 0.008416472), ('Arm', 0.007598412), ('Seated', 0.006062891)]"
"[('Weight', 0.406672739), ('HtShoes', 0.2028555), ('Age', 0.035890631), ('Leg', 0.023367781), ('Arm', 0.005565896), ('Thigh', 0.005240664), ('Seated', 0.003568595), ('Ht', 0.003353727)]"
