0
"[('Weight', 0.416788042), ('Ht', 0.203910341), ('Age', 0.042168465), ('Leg', 0.020363125), ('HtShoes', 0.009160713), ('Arm', 0.004901981), ('Seated', 0.002816342), ('Thigh', 0.001543207)]"
"[('Weight', 0.402903148), ('Ht', 0.200335781), ('Age', 0.025697708), ('Leg', 0.023058428), ('HtShoes', 0.020753523), ('Thigh', 0.01143209), ('Arm', 0.007631872), ('Seated', 0.00754758)]"
"[('Weight', 0.391306783), ('Ht', 0.144082357), ('Leg', 0.039733308), ('Age', 0.030577208), ('Thigh', 0.020925072), ('Arm', 0.020653539), ('Seated', 0.019731975), ('HtShoes', 0.01898775)]"
"[('Weight', 0.408689662), ('Ht', 0.202164465), ('Age', 0.040758962), ('Leg', 0.021346175), ('Arm', 0.005526663), ('Thigh', 0.003326706), ('Seated', 0.002580488), ('HtShoes', 0.002485925)]"
"[('Weight', 0.388862846), ('Ht', 0.126125856), ('Leg', 0.043749937), ('Age', 0.030518185), ('Thigh', 0.025632703), ('Arm', 0.025289244), ('Seated', 0.024387536), ('HtShoes', 0.021199875)]"
"[('Weight', 0.418199648), ('Ht', 0.202319446), ('Age', 0.042720921), ('Leg', 0.026704936), ('HtShoes', 0.012229091), ('Thigh', 0.002581646), ('Arm', 0.001250671), ('Seated', 0.00012584)]"
"[('Weight', 0.418185558), ('Ht', 0.198578436), ('Age', 0.04646193), ('Leg', 0.026704936), ('HtShoes', 0.009926503), ('Thigh', 0.002581646), ('Arm', 0.001250671), ('Seated', 0.00012584)]"
"[('Weight', 0.391552729), ('Ht', 0.197797611), ('Leg', 0.03109888), ('Age', 0.024272038), ('HtShoes', 0.015049491), ('Thigh', 0.010747962), ('Seated', 0.010621302), ('Arm', 0.010108567)]"
"[('Weight', 0.410025093), ('Ht', 0.203650584), ('Age', 0.042094394), ('Leg', 0.020525103), ('Arm', 0.004829115), ('Seated', 0.002886162), ('Thigh', 0.001718102), ('HtShoes', 0.000153884)]"
"[('Weight', 0.383650682), ('Ht', 0.213428791), ('Age', 0.028418756), ('Leg', 0.026569539), ('HtShoes', 0.021556738), ('Seated', 0.009526568), ('Arm', 0.008614949), ('Thigh', 0.007919063)]"
"[('Weight', 0.417521924), ('Ht', 0.203660789), ('Age', 0.042138389), ('Leg', 0.026704936), ('HtShoes', 0.008544041), ('Thigh', 0.002581646), ('Arm', 0.001250671), ('Seated', 0.00012584)]"
"[('Weight', 0.408593961), ('Ht', 0.206962893), ('Age', 0.037386435), ('Leg', 0.020363125), ('HtShoes', 0.008623785), ('Arm', 0.004901981), ('Thigh', 0.003272685), ('Seated', 0.002816342)]"
"[('Weight', 0.381754015), ('Ht', 0.177320795), ('Leg', 0.040662415), ('Age', 0.028784777), ('HtShoes', 0.026607086), ('Thigh', 0.015596198), ('Seated', 0.01483332), ('Arm', 0.013467415)]"
"[('Weight', 0.41575889), ('Ht', 0.203975245), ('Age', 0.041767368), ('Leg', 0.02600269), ('HtShoes', 0.006062962), ('Arm', 0.001952917), ('Thigh', 0.001879399), ('Seated', 0.00012584)]"
"[('Weight', 0.376760477), ('Ht', 0.173155995), ('Age', 0.034547704), ('Leg', 0.028395447), ('HtShoes', 0.0259868), ('Arm', 0.020078269), ('Thigh', 0.018880511), ('Seated', 0.017117251)]"
"[('Weight', 0.40433216), ('Ht', 0.200490395), ('HtShoes', 0.036283728), ('Age', 0.030185249), ('Leg', 0.020363125), ('Arm', 0.009483383), ('Thigh', 0.009462078), ('Seated', 0.00571923)]"
"[('Weight', 0.4101918), ('Ht', 0.204930397), ('Age', 0.041148409), ('Leg', 0.020363125), ('Arm', 0.004901981), ('Seated', 0.002816342), ('Thigh', 0.001543207), ('HtShoes', 0.00145417)]"
"[('Weight', 0.378734144), ('Ht', 0.204701746), ('HtShoes', 0.034636381), ('Age', 0.03165111), ('Leg', 0.025215836), ('Seated', 0.012531251), ('Thigh', 0.011312439), ('Arm', 0.011138744)]"
