0
"[('Weight', 0.41895053), ('HtShoes', 0.202972212), ('Age', 0.041868132), ('Leg', 0.011021904), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412), ('Thigh', 0.000524027)]"
"[('Weight', 0.401845458), ('HtShoes', 0.189068856), ('Age', 0.029232278), ('Leg', 0.012049949), ('Arm', 0.011720924), ('Thigh', 0.009648298), ('Seated', 0.008508295), ('Ht', 0.008180863)]"
"[('Weight', 0.378430603), ('HtShoes', 0.119199613), ('Age', 0.033920999), ('Arm', 0.030643718), ('Seated', 0.027314693), ('Leg', 0.026440326), ('Thigh', 0.026165643), ('Ht', 0.02548207)]"
"[('Weight', 0.408439418), ('HtShoes', 0.201769628), ('Age', 0.040508719), ('Arm', 0.006713411), ('Seated', 0.003586918), ('Thigh', 0.002061035), ('Ht', 0.001719801), ('Leg', 0.0016586)]"
"[('Weight', 0.378726737), ('HtShoes', 0.108916715), ('Leg', 0.035366617), ('Seated', 0.03293277), ('Age', 0.032091816), ('Arm', 0.030169536), ('Ht', 0.028198059), ('Thigh', 0.027712552)]"
"[('Weight', 0.426374694), ('HtShoes', 0.202715012), ('Age', 0.042378011), ('Leg', 0.020823672), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412), ('Thigh', 0.000524027)]"
"[('Weight', 0.424309635), ('HtShoes', 0.203227468), ('Age', 0.041612876), ('Leg', 0.014802538), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412), ('Thigh', 0.000524027)]"
"[('Weight', 0.407391901), ('HtShoes', 0.201812229), ('Age', 0.034807248), ('Arm', 0.008243131), ('Seated', 0.005538923), ('Leg', 0.004858044), ('Thigh', 0.003034685), ('Ht', 0.002923296)]"
"[('Weight', 0.379735483), ('HtShoes', 0.170756263), ('Age', 0.034050835), ('Arm', 0.020390638), ('Seated', 0.01633596), ('Thigh', 0.015703222), ('Leg', 0.015664302), ('Ht', 0.014717557)]"
"[('Weight', 0.403502139), ('HtShoes', 0.203184182), ('Age', 0.036251693), ('Arm', 0.007778257), ('Seated', 0.005444422), ('Leg', 0.003518708), ('Thigh', 0.003508735), ('Ht', 0.003481848)]"
"[('Weight', 0.421626141), ('HtShoes', 0.202063755), ('Age', 0.042776588), ('Leg', 0.011626842), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412), ('Thigh', 0.000524027)]"
"[('Weight', 0.400968848), ('HtShoes', 0.18139481), ('Leg', 0.050978979), ('Age', 0.032728948), ('Ht', 0.011694949), ('Thigh', 0.011488465), ('Seated', 0.009940083), ('Arm', 0.009112258)]"
"[('Weight', 0.393984959), ('HtShoes', 0.181747674), ('Age', 0.033184697), ('Arm', 0.014821564), ('Seated', 0.012089021), ('Thigh', 0.010526661), ('Leg', 0.010149335), ('Ht', 0.01009127)]"
"[('Weight', 0.415818836), ('HtShoes', 0.202725916), ('Age', 0.044089075), ('Leg', 0.008658974), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412), ('Thigh', 0.000524027)]"
"[('Weight', 0.356417938), ('HtShoes', 0.15236421), ('Leg', 0.048290925), ('Age', 0.043480771), ('Arm', 0.03178231), ('Ht', 0.023115588), ('Thigh', 0.020592704), ('Seated', 0.020174909)]"
"[('Weight', 0.403803144), ('HtShoes', 0.187933713), ('Age', 0.034301204), ('Leg', 0.017434678), ('Arm', 0.012406115), ('Thigh', 0.008154482), ('Seated', 0.007330068), ('Ht', 0.00623393)]"
"[('Weight', 0.412984094), ('HtShoes', 0.197563715), ('Age', 0.045053395), ('Leg', 0.012741144), ('Seated', 0.006534836), ('Arm', 0.005517746), ('Ht', 0.001165794), ('Thigh', 0.000524027)]"
"[('Weight', 0.371698228), ('HtShoes', 0.173423781), ('Age', 0.033158823), ('Leg', 0.02885415), ('Seated', 0.021262763), ('Arm', 0.019851451), ('Ht', 0.016458595), ('Thigh', 0.015301908)]"
"[('Weight', 0.385973969), ('HtShoes', 0.175463744), ('Age', 0.033979893), ('Arm', 0.018013735), ('Seated', 0.014560889), ('Thigh', 0.01329803), ('Leg', 0.013291734), ('Ht', 0.012588249)]"
"[('Weight', 0.399963528), ('HtShoes', 0.193679845), ('Age', 0.036249413), ('Arm', 0.010399046), ('Seated', 0.007836672), ('Thigh', 0.006450212), ('Leg', 0.0060892), ('Ht', 0.005960909)]"
"[('Weight', 0.388636668), ('HtShoes', 0.176438824), ('Age', 0.034274912), ('Arm', 0.016962119), ('Leg', 0.014294315), ('Seated', 0.01393605), ('Thigh', 0.012247815), ('Ht', 0.011956683)]"
"[('Weight', 0.411902323), ('HtShoes', 0.203510701), ('Age', 0.040562213), ('Arm', 0.00555657), ('Seated', 0.00404616), ('Leg', 0.003724241), ('Ht', 0.002159841), ('Thigh', 0.000524027)]"
"[('Weight', 0.407007342), ('HtShoes', 0.204867723), ('Age', 0.041105761), ('Arm', 0.005169496), ('Seated', 0.004814473), ('Leg', 0.003074487), ('Thigh', 0.001345954), ('Ht', 0.001085223)]"
"[('Weight', 0.406604291), ('HtShoes', 0.206166752), ('Age', 0.042084022), ('Arm', 0.00512154), ('Seated', 0.00407226), ('Leg', 0.003426301), ('Ht', 0.001392412), ('Thigh', 0.000932957)]"
"[('Weight', 0.447997151), ('HtShoes', 0.188418324), ('Age', 0.056422019), ('Leg', 0.053822546), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412), ('Thigh', 0.000524027)]"
"[('Weight', 0.404616466), ('HtShoes', 0.199221248), ('Age', 0.039138096), ('Arm', 0.007823216), ('Seated', 0.005810875), ('Leg', 0.004240718), ('Thigh', 0.003695008), ('Ht', 0.003123397)]"
"[('Weight', 0.41196879), ('HtShoes', 0.201381884), ('Age', 0.043458459), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Leg', 0.003871762), ('Ht', 0.001392412), ('Thigh', 0.000524027)]"
"[('Weight', 0.381669484), ('HtShoes', 0.095737121), ('Arm', 0.036993407), ('Leg', 0.036285689), ('Age', 0.036007535), ('Seated', 0.030861864), ('Thigh', 0.02839781), ('Ht', 0.028361776)]"
"[('Weight', 0.408252922), ('HtShoes', 0.199154788), ('Age', 0.040322222), ('Leg', 0.017692348), ('Arm', 0.008638676), ('Seated', 0.00385655), ('Thigh', 0.00257308), ('Ht', 0.001814196)]"
"[('Weight', 0.39227392), ('HtShoes', 0.185154705), ('Age', 0.034406574), ('Arm', 0.014941462), ('Leg', 0.011306148), ('Thigh', 0.010364264), ('Seated', 0.01017628), ('Ht', 0.00967908)]"
