0
"[('Weight', 0.410403916), ('HtShoes', 0.206318115), ('Age', 0.043053675), ('Leg', 0.021894918), ('Seated', 0.014069406), ('Arm', 0.006356517), ('Thigh', 0.002693845), ('Ht', 0.000523948)]"
"[('Weight', 0.411208803), ('HtShoes', 0.210443629), ('Age', 0.032382032), ('Leg', 0.021894918), ('Seated', 0.011870527), ('Arm', 0.006356517), ('Thigh', 0.004821316), ('Ht', 0.000411159)]"
"[('Weight', 0.390001679), ('HtShoes', 0.143069001), ('Leg', 0.038943564), ('Age', 0.030409336), ('Thigh', 0.022443673), ('Arm', 0.021416445), ('Seated', 0.020234921), ('Ht', 0.020027552)]"
"[('Weight', 0.408078376), ('HtShoes', 0.203927618), ('Age', 0.041642547), ('Leg', 0.022570096), ('Arm', 0.006420243), ('Thigh', 0.002729067), ('Seated', 0.001504366), ('Ht', 0.00051487)]"
"[('Weight', 0.403022196), ('HtShoes', 0.187262263), ('Age', 0.035091496), ('Leg', 0.028489188), ('Thigh', 0.009770629), ('Arm', 0.008629521), ('Seated', 0.008174592), ('Ht', 0.007066474)]"
"[('Weight', 0.41530777), ('HtShoes', 0.203769276), ('Age', 0.041071068), ('Leg', 0.021894918), ('Seated', 0.00928683), ('Arm', 0.006356517), ('Thigh', 0.002384931), ('Ht', 0.000832861)]"
"[('Weight', 0.425982249), ('HtShoes', 0.199150014), ('Age', 0.045690329), ('Leg', 0.021894918), ('Seated', 0.018702351), ('Arm', 0.006356517), ('Thigh', 0.002384931), ('Ht', 0.000832861)]"
"[('Weight', 0.388047543), ('HtShoes', 0.183027922), ('Leg', 0.038673157), ('Age', 0.021894853), ('Seated', 0.020910267), ('Thigh', 0.01440183), ('Arm', 0.014198757), ('Ht', 0.013064816)]"
"[('Weight', 0.407964872), ('HtShoes', 0.199824121), ('Age', 0.040034173), ('Leg', 0.023928235), ('Arm', 0.005976278), ('Thigh', 0.004419542), ('Ht', 0.002127221), ('Seated', 0.002088103)]"
"[('Weight', 0.394874391), ('HtShoes', 0.20544814), ('Age', 0.035595185), ('Leg', 0.028641053), ('Seated', 0.01121106), ('Arm', 0.007033126), ('Thigh', 0.005888909), ('Ht', 0.004456253)]"
"[('Weight', 0.417502632), ('HtShoes', 0.20322977), ('Age', 0.041610574), ('Leg', 0.021894918), ('Seated', 0.008016686), ('Arm', 0.006356517), ('Thigh', 0.002384931), ('Ht', 0.000832861)]"
