0
"[('Weight', 0.409688955), ('HtShoes', 0.203029855), ('Age', 0.040567023), ('Leg', 0.01989141), ('Arm', 0.005578666), ('Seated', 0.004023857), ('Ht', 0.00144027), ('Thigh', 0.001268586)]"
"[('Weight', 0.411560498), ('HtShoes', 0.201337665), ('Age', 0.043502679), ('Leg', 0.018695595), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Thigh', 0.001546484), ('Ht', 0.001392412)]"
"[('Weight', 0.403953731), ('HtShoes', 0.207222996), ('Age', 0.0357676), ('Leg', 0.029373525), ('Thigh', 0.014058797), ('Arm', 0.005504653), ('Seated', 0.005466646), ('Ht', 0.000780341)]"
"[('Weight', 0.410002541), ('HtShoes', 0.202768502), ('Age', 0.042071841), ('Leg', 0.018695595), ('Arm', 0.005531555), ('Seated', 0.004071176), ('Ht', 0.001392412), ('Thigh', 0.000154448)]"
"[('Weight', 0.401001068), ('HtShoes', 0.1876614), ('Age', 0.033070369), ('Leg', 0.024716416), ('Arm', 0.010042209), ('Seated', 0.009908272), ('Thigh', 0.009789397), ('Ht', 0.009132415)]"
"[('Weight', 0.392959875), ('HtShoes', 0.195229412), ('Age', 0.033880313), ('Leg', 0.027198115), ('Thigh', 0.01078236), ('Arm', 0.009889968), ('Seated', 0.008747006), ('Ht', 0.008437403)]"
"[('Weight', 0.410097167), ('HtShoes', 0.203172734), ('Age', 0.04166761), ('Leg', 0.018720619), ('Arm', 0.005816816), ('Seated', 0.003760891), ('Ht', 0.001392412), ('Thigh', 0.00051886)]"
"[('Weight', 0.407522677), ('HtShoes', 0.203306872), ('Age', 0.039591978), ('Leg', 0.020180871), ('Arm', 0.005958256), ('Thigh', 0.00375326), ('Seated', 0.002974307), ('Ht', 0.002518796)]"
"[('Weight', 0.410026777), ('HtShoes', 0.205470919), ('Age', 0.04371624), ('Leg', 0.018695595), ('Arm', 0.005517746), ('Thigh', 0.004348605), ('Seated', 0.004084984), ('Ht', 0.001392412)]"
"[('Thigh', 0.169943215), ('Weight', 0.09847965), ('Leg', 0.09748825), ('Ht', 0.096507623), ('Seated', 0.094611315), ('HtShoes', 0.092421061), ('Arm', 0.091882392), ('Age', 0.02130164)]"
"[('Weight', 0.418522138), ('HtShoes', 0.194248905), ('Age', 0.050591439), ('Leg', 0.018695595), ('Thigh', 0.015472237), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412)]"
"[('Weight', 0.409902162), ('HtShoes', 0.202868881), ('Age', 0.041971463), ('Leg', 0.018695595), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412), ('Thigh', 0.000290112)]"
"[('Weight', 0.410855158), ('HtShoes', 0.200714744), ('Age', 0.036628509), ('Thigh', 0.030837326), ('Leg', 0.020293898), ('Seated', 0.008700476), ('Arm', 0.005267442), ('Ht', 0.002926012)]"
"[('Weight', 0.408290033), ('HtShoes', 0.197175847), ('Age', 0.040359334), ('Leg', 0.022963876), ('Thigh', 0.008028148), ('Arm', 0.007314057), ('Seated', 0.004739541), ('Ht', 0.001978423)]"
"[('Weight', 0.38662583), ('HtShoes', 0.173011828), ('Thigh', 0.038020713), ('Age', 0.0353924), ('Arm', 0.023070549), ('Leg', 0.018695595), ('Ht', 0.016261414), ('Seated', 0.016177011)]"
"[('Weight', 0.419929692), ('HtShoes', 0.203327754), ('Age', 0.041512589), ('Leg', 0.018695595), ('Thigh', 0.011213212), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412)]"
"[('Weight', 0.39111725), ('HtShoes', 0.181490233), ('Leg', 0.030875245), ('Age', 0.029883434), ('Arm', 0.01391724), ('Seated', 0.01277542), ('Thigh', 0.012471735), ('Ht', 0.012286392)]"
"[('Weight', 0.378451889), ('HtShoes', 0.204917639), ('Thigh', 0.045321025), ('Age', 0.033998458), ('Leg', 0.031583221), ('Ht', 0.010985076), ('Arm', 0.008348494), ('Seated', 0.00817546)]"
"[('Weight', 0.410311964), ('HtShoes', 0.202478782), ('Age', 0.042039404), ('Leg', 0.019039983), ('Arm', 0.005495608), ('Seated', 0.004042176), ('Ht', 0.001435127), ('Thigh', 0.000344737)]"
"[('Weight', 0.405678821), ('HtShoes', 0.20158422), ('Age', 0.042886703), ('Leg', 0.023087672), ('Arm', 0.006616275), ('Thigh', 0.006073642), ('Seated', 0.003646715), ('Ht', 0.001056993)]"
"[('Weight', 0.406432745), ('HtShoes', 0.20592659), ('Age', 0.040432995), ('Leg', 0.018695595), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Thigh', 0.00225411), ('Ht', 0.00180412)]"
"[('Weight', 0.409824935), ('HtShoes', 0.203144009), ('Age', 0.041696335), ('Leg', 0.018695595), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412), ('Thigh', 0.000201391)]"
"[('Weight', 0.400423584), ('HtShoes', 0.193021935), ('Age', 0.035595837), ('Leg', 0.026638998), ('Thigh', 0.009315464), ('Arm', 0.008352128), ('Seated', 0.007519561), ('Ht', 0.006505573)]"
"[('Weight', 0.386257819), ('HtShoes', 0.182749034), ('Leg', 0.033100718), ('Age', 0.030636539), ('Thigh', 0.01444957), ('Arm', 0.014212454), ('Seated', 0.012821056), ('Ht', 0.012393279)]"
"[('Weight', 0.384639627), ('HtShoes', 0.188058545), ('Leg', 0.031190332), ('Age', 0.029869583), ('Thigh', 0.014047054), ('Arm', 0.013129967), ('Seated', 0.012858536), ('Ht', 0.012584774)]"
"[('Weight', 0.419565734), ('HtShoes', 0.203760201), ('Age', 0.042491464), ('Leg', 0.018695595), ('Thigh', 0.011041498), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412)]"
"[('Weight', 0.413027152), ('HtShoes', 0.204705197), ('Age', 0.040135147), ('Leg', 0.018695595), ('Thigh', 0.008758955), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.001392412)]"
"[('Weight', 0.408642638), ('HtShoes', 0.2049602), ('Age', 0.039225626), ('Leg', 0.018695595), ('Thigh', 0.005767342), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Ht', 0.002046928)]"
"[('Weight', 0.367151942), ('HtShoes', 0.163220926), ('Leg', 0.038674575), ('Age', 0.032034513), ('Thigh', 0.026967237), ('Arm', 0.022272513), ('Ht', 0.02079161), ('Seated', 0.020418351)]"
"[('Weight', 0.412655813), ('HtShoes', 0.198800483), ('Age', 0.043410367), ('Leg', 0.018695595), ('Arm', 0.005517746), ('Seated', 0.004084984), ('Thigh', 0.002630408), ('Ht', 0.001392412)]"
