0
"[('HtShoes', 0.55254305), ('Leg', 0.035398356), ('Age', 0.032974316), ('Thigh', 0.014283651), ('Arm', 0.014168343), ('Ht', 0.013685868), ('Weight', 0.013398942), ('Seated', 0.01319927)]"
"[('HtShoes', 0.612763096), ('Age', 0.042366844), ('Leg', 0.020135944), ('Arm', 0.005196895), ('Seated', 0.003111214), ('Thigh', 0.002157483), ('Ht', 0.001024906), ('Weight', 0.000754648)]"
"[('HtShoes', 0.50299411), ('Leg', 0.041872482), ('Age', 0.030720879), ('Thigh', 0.023859942), ('Arm', 0.022882651), ('Seated', 0.022333038), ('Ht', 0.021946656), ('Weight', 0.02020964)]"
"[('HtShoes', 0.543152521), ('Age', 0.035616956), ('Leg', 0.033607362), ('Thigh', 0.018614757), ('Arm', 0.017728838), ('Seated', 0.015694294), ('Ht', 0.015591767), ('Weight', 0.012780228)]"
"[('HtShoes', 0.61813591), ('Age', 0.03795848), ('Weight', 0.020760526), ('Leg', 0.020217312), ('Arm', 0.005622124), ('Seated', 0.003721921), ('Thigh', 0.002166254), ('Ht', 5.41e-05)]"
"[('HtShoes', 0.59571189), ('Age', 0.027660033), ('Leg', 0.027268395), ('Weight', 0.011126745), ('Thigh', 0.008225648), ('Seated', 0.007745171), ('Arm', 0.007134333), ('Ht', 0.006376396)]"
"[('HtShoes', 0.612439451), ('Age', 0.044209664), ('Leg', 0.020135944), ('Arm', 0.005196895), ('Seated', 0.003111214), ('Weight', 0.002990586), ('Thigh', 0.002401672), ('Ht', 0.001104362)]"
"[('HtShoes', 0.516014688), ('Leg', 0.043877417), ('Weight', 0.031054524), ('Age', 0.026851075), ('Seated', 0.021934824), ('Thigh', 0.020437103), ('Ht', 0.019605879), ('Arm', 0.019536259)]"
"[('HtShoes', 0.622370754), ('Age', 0.03893036), ('Leg', 0.020135944), ('Weight', 0.00966536), ('Arm', 0.005196895), ('Seated', 0.003111214), ('Thigh', 0.002157483), ('Ht', 0.001024906)]"
"[('HtShoes', 0.588028373), ('Age', 0.034721799), ('Leg', 0.022409494), ('Weight', 0.013339515), ('Thigh', 0.010740953), ('Ht', 0.007772814), ('Arm', 0.007758045), ('Seated', 0.007679861)]"
"[('HtShoes', 0.544556221), ('Leg', 0.039428405), ('Age', 0.027696687), ('Weight', 0.025855449), ('Thigh', 0.017408751), ('Seated', 0.014568682), ('Ht', 0.01429822), ('Arm', 0.014284005)]"
