Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg
0.040466586,0.409311418,0.20361918,0.000751361,0.003179836,0.001263675,0.003221009,0.024035947
0.042252954,0.413135746,0.20258739,0.000726797,0.003179836,0.003630385,0.002490995,0.024035947
0.03762894,0.405559639,0.194984995,0.00448411,0.004814106,0.004534905,0.006723534,0.026638235
0.04286372,0.410380349,0.20161231,0.000488817,0.003501105,0.000806437,0.002760731,0.024461307
0.032016486,0.374215305,0.154957941,0.019612734,0.020005195,0.019659824,0.021908285,0.042972016
0.039865096,0.418227397,0.204975247,0.000726797,0.003179836,0.017551936,0.002490995,0.024035947
0.041507918,0.409438617,0.203065857,0.000591026,0.003179836,0.000593112,0.002893335,0.024035947
0.037168301,0.407975647,0.204995379,0.000939832,0.003410947,0.004010975,0.004176154,0.025705701
0.035464677,0.395977324,0.19404723,0.006640043,0.006902464,0.007420377,0.009739409,0.029898149
0.03304855,0.383330199,0.203186574,0.007916812,0.008903773,0.02708051,0.007279896,0.03435657
0.031859648,0.39655323,0.214455187,0.003433072,0.003289395,0.01062236,0.007832267,0.024606526
0.029786475,0.398622706,0.18236069,0.011804546,0.011408683,0.016097869,0.013220254,0.026693272
0.035981202,0.398476545,0.1961706,0.006117486,0.006486095,0.006763983,0.008319231,0.027634662
0.04324411,0.41059821,0.226037382,0.000726797,0.003179836,0.02503633,0.002490995,0.024035947
0.035903166,0.358390682,0.054192019,0.04539257,0.045723111,0.064005328,0.048241076,0.052070509
0.033618207,0.408457375,0.204749472,0.001977017,0.003179836,0.009884148,0.00771344,0.024035947
0.042632925,0.411006599,0.203978099,0.000726797,0.003179836,0.003029463,0.002490995,0.024035947
0.045909244,0.40613806,0.209692529,0.000726797,0.003179836,0.014458279,0.002490995,0.024035947
0.041192395,0.409286876,0.202265205,0.000744255,0.003198387,0.000748408,0.003158181,0.024715496
0.038126527,0.404003742,0.195498245,0.004119705,0.00413088,0.004962129,0.006593892,0.028858154
0.0426275,0.408246816,0.199448051,0.001047814,0.002410556,0.018641103,0.002490995,0.029028506
0.03563262,0.40356332,0.187365424,0.00649656,0.006896911,0.007254191,0.008960466,0.029921937
0.033214996,0.394522359,0.183843822,0.008958994,0.009352329,0.011192192,0.011402801,0.035124312
0.033241687,0.358816383,0.151892214,0.021989022,0.022058163,0.032155367,0.025555497,0.050058647
0.040455423,0.418495781,0.20438492,0.000726797,0.003179836,0.010112178,0.002490995,0.024035947
0.043252314,0.422466893,0.201451122,0.001561466,0.003179836,0.014030966,0.002490995,0.024035947
0.035211202,0.403141901,0.1906746,0.006953166,0.007592505,0.009035089,0.008650772,0.026191675
0.027916417,0.373907201,0.088360144,0.036767282,0.039632305,0.058177093,0.036622293,0.045975479
0.037631774,0.410296842,0.206074254,0.000109539,0.003497618,0.007461833,0.002819676,0.025141059
0.027739884,0.37153546,0.167008236,0.019071098,0.020556264,0.023127025,0.01958083,0.040757378
