Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg
0.042238118,0.417390243,0.202602226,0.00934726,0.003883763,0.005478732,0.002044106,0.020242123
0.026371306,0.40425324,0.20463642,0.018326437,0.005879022,0.006292049,0.010374392,0.022935879
0.031571724,0.391335657,0.14625923,0.019608672,0.018941429,0.019661532,0.020215324,0.039839828
0.041355109,0.409285808,0.202901524,0.002121181,0.002982678,0.006084527,0.00289656,0.02026867
0.031664075,0.392174316,0.150352556,0.017852217,0.018063557,0.01903654,0.019815695,0.037556645
0.042272138,0.416306009,0.20199028,0.012059667,0.000231857,0.00133858,0.003384559,0.027271654
0.045717662,0.418828607,0.199122682,0.00973684,0.003883763,0.005478732,0.002044106,0.020242123
0.026040067,0.394227119,0.200893982,0.012740017,0.009020022,0.008559657,0.009928882,0.029983141
0.042094424,0.410025123,0.20274592,2.79E-05,0.003883763,0.005454123,0.002044106,0.020266732
0.025997719,0.377002844,0.199027387,0.024760806,0.013825522,0.013339205,0.013029521,0.032112908
0.042982186,0.417163655,0.202720224,0.008609388,0.000231857,0.00133858,0.003384559,0.027271654
0.036759287,0.406536055,0.204508178,0.009425385,0.003521073,0.003772289,0.005979674,0.021948566
0.032504814,0.387697165,0.186119533,0.022742887,0.011444253,0.009848276,0.012533333,0.036777207
0.041412892,0.414474319,0.202849525,0.005256631,0.000231857,0.00133858,0.003384559,0.027271654
0.036910133,0.373834389,0.162897411,0.03128139,0.018830448,0.022077852,0.020826729,0.032982137
0.031252213,0.407955433,0.209869422,0.031877409,0.002927202,0.005672766,0.006525342,0.020242123
0.040852897,0.41005642,0.203987447,0.002054056,0.003883763,0.005478732,0.002044106,0.020242123
0.033398603,0.37628068,0.188741407,0.036385325,0.01544135,0.014538411,0.015158979,0.029400529
0.03071238,0.381568625,0.174969234,0.016435134,0.015469941,0.016218834,0.016393469,0.035979809
0.032461248,0.394110917,0.17433639,0.014616952,0.013434921,0.014422193,0.015355688,0.029272941
0.039697558,0.405178467,0.203691905,0.002459371,0.003144105,0.005306041,0.004502486,0.022596762
0.042126455,0.410087989,0.20265222,6.85E-05,0.003883763,0.005478732,0.002044106,0.020242123
0.043085331,0.409914232,0.209500439,0.007845357,0.003967708,0.005478732,0.002044106,0.020242123
0.041068765,0.399940335,0.20759077,0.009060804,0.003289506,0.005283622,0.002894114,0.02542142
0.047156317,0.436539891,0.197684026,0.038346808,0.003883763,0.005478732,0.002044106,0.020242123
0.034356041,0.394663449,0.196533106,0.008136961,0.008133991,0.009071459,0.009893127,0.026124634
0.040001019,0.407931718,0.200308279,0.002859264,0.00315778,0.00546456,0.00454623,0.0230112
0.034781439,0.398748791,0.173413976,0.02768701,0.012508949,0.014711607,0.011825573,0.029247522
0.0361249,0.404055599,0.194674773,0.021846223,0.006062891,0.007598412,0.008416472,0.023611619
0.035890631,0.406672739,0.2028555,0.003353727,0.003568595,0.005565896,0.005240664,0.023367781
