Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg
0.042168465,0.416788042,0.009160713,0.203910341,0.002816342,0.004901981,0.001543207,0.020363125
0.025697708,0.402903148,0.020753523,0.200335781,0.00754758,0.007631872,0.01143209,0.023058428
0.030577208,0.391306783,0.01898775,0.144082357,0.019731975,0.020653539,0.020925072,0.039733308
0.040758962,0.408689662,0.002485925,0.202164465,0.002580488,0.005526663,0.003326706,0.021346175
0.030518185,0.388862846,0.021199875,0.126125856,0.024387536,0.025289244,0.025632703,0.043749937
0.042720921,0.418199648,0.012229091,0.202319446,0.00012584,0.001250671,0.002581646,0.026704936
0.04646193,0.418185558,0.009926503,0.198578436,0.00012584,0.001250671,0.002581646,0.026704936
0.024272038,0.391552729,0.015049491,0.197797611,0.010621302,0.010108567,0.010747962,0.03109888
0.042094394,0.410025093,0.000153884,0.203650584,0.002886162,0.004829115,0.001718102,0.020525103
0.028418756,0.383650682,0.021556738,0.213428791,0.009526568,0.008614949,0.007919063,0.026569539
0.042138389,0.417521924,0.008544041,0.203660789,0.00012584,0.001250671,0.002581646,0.026704936
0.037386435,0.408593961,0.008623785,0.206962893,0.002816342,0.004901981,0.003272685,0.020363125
0.028784777,0.381754015,0.026607086,0.177320795,0.01483332,0.013467415,0.015596198,0.040662415
0.041767368,0.41575889,0.006062962,0.203975245,0.00012584,0.001952917,0.001879399,0.02600269
0.034547704,0.376760477,0.0259868,0.173155995,0.017117251,0.020078269,0.018880511,0.028395447
0.030185249,0.40433216,0.036283728,0.200490395,0.00571923,0.009483383,0.009462078,0.020363125
0.041148409,0.4101918,0.00145417,0.204930397,0.002816342,0.004901981,0.001543207,0.020363125
0.03165111,0.378734144,0.034636381,0.204701746,0.012531251,0.011138744,0.011312439,0.025215836
0.029334581,0.376823793,0.0202082,0.16663461,0.018215355,0.018900607,0.018748975,0.039019694
0.031268315,0.395072712,0.012505137,0.185053396,0.011439293,0.012524886,0.012929957,0.026186729
0.03897807,0.403788993,0.003186035,0.20377721,0.003251966,0.004689274,0.004727503,0.023399212
0.04208274,0.410013439,1.49E-05,0.201718013,0.002816342,0.004901981,0.002682233,0.021502151
0.042961022,0.409966599,0.007951438,0.209631203,0.004243239,0.004901981,0.001543207,0.020363125
0.041418476,0.40223304,0.007118239,0.206886047,0.002870625,0.004693142,0.002205869,0.024745437
0.047680653,0.438226737,0.039263589,0.198398152,0.002816342,0.004901981,0.001543207,0.020363125
0.03653257,0.398768296,0.00574371,0.200968971,0.005773158,0.006777245,0.007145109,0.024201378
0.039991254,0.407921954,0.002470159,0.198680971,0.003278859,0.004894303,0.004975702,0.02388237
0.033417851,0.400762355,0.024443921,0.162539098,0.015879841,0.018044747,0.015262055,0.030559867
0.035741238,0.403671937,0.024143531,0.188046346,0.007441524,0.009015318,0.009567495,0.025891538
0.037258785,0.407523972,0.002508062,0.204298882,0.00263386,0.005004516,0.003877828,0.022629589
