Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg
0.043053675,0.410403916,0.206318115,0.000523948,0.014069406,0.006356517,0.002693845,0.021894918
0.032382032,0.411208803,0.210443629,0.000411159,0.011870527,0.006356517,0.004821316,0.021894918
0.030409336,0.390001679,0.143069001,0.020027552,0.020234921,0.021416445,0.022443673,0.038943564
0.041642547,0.408078376,0.203927618,0.00051487,0.001504366,0.006420243,0.002729067,0.022570096
0.035091496,0.403022196,0.187262263,0.007066474,0.008174592,0.008629521,0.009770629,0.028489188
0.041071068,0.41530777,0.203769276,0.000832861,0.00928683,0.006356517,0.002384931,0.021894918
0.045690329,0.425982249,0.199150014,0.000832861,0.018702351,0.006356517,0.002384931,0.021894918
0.021894853,0.388047543,0.183027922,0.013064816,0.020910267,0.014198757,0.01440183,0.038673157
0.040034173,0.407964872,0.199824121,0.002127221,0.002088103,0.005976278,0.004419542,0.023928235
0.035595185,0.394874391,0.20544814,0.004456253,0.01121106,0.007033126,0.005888909,0.028641053
0.041610574,0.417502632,0.20322977,0.000832861,0.008016686,0.006356517,0.002384931,0.021894918
0.036517805,0.404607621,0.196482496,0.005442387,0.017227291,0.005422629,0.007370215,0.025074039
0.029816118,0.38199909,0.166808603,0.016309115,0.01733761,0.01713054,0.018881421,0.03921964
0.03995189,0.407725078,0.210081509,0.000832861,0.006917829,0.006356517,0.002384931,0.021894918
0.040033471,0.396241459,0.210555452,0.002136698,0.012375558,0.006356517,0.007055226,0.021894918
0.027507141,0.394565656,0.174561393,0.016138201,0.049024489,0.017321508,0.016758644,0.024022684
0.041888117,0.409818816,0.202952227,0.000674705,0.000526512,0.006356517,0.002543088,0.021894918
0.037849831,0.38997736,0.214681926,0.004947501,0.02248826,0.006356517,0.006382048,0.021894918
0.032724839,0.396427478,0.185007336,0.009396562,0.011593697,0.010413858,0.010516437,0.032478599
0.032764508,0.388171633,0.13839142,0.02190898,0.026190871,0.024018718,0.024734811,0.034491134
0.04233674,0.410508559,0.201499892,0.000991829,0.000784308,0.005841964,0.002747436,0.02240947
0.042275957,0.410386992,0.201020602,0.000451859,0.00176619,0.006548341,0.002384931,0.023267208
0.045208623,0.408724101,0.202625252,0.000101805,0.005761144,0.006547403,0.002384931,0.023856778
0.042928655,0.408912336,0.202392352,8.05E-05,0.001951529,0.007545803,0.002389973,0.022919309
0.05033983,0.444004788,0.194500514,0.000832861,0.051524812,0.006356517,0.002384931,0.021894918
0.031073685,0.371143472,0.16273332,0.019774575,0.020021874,0.021333054,0.022252732,0.038277844
0.03826967,0.406848578,0.194056481,0.003633076,0.005301675,0.006479245,0.006803005,0.027068093
0.039495932,0.410667402,0.203338451,0.001095263,0.014124184,0.008100075,0.002384931,0.021894918
0.033692127,0.381000806,0.101704508,0.029786596,0.056413533,0.02979957,0.032695511,0.048631258
0.035645388,0.406222827,0.199284707,0.003872667,0.003873265,0.006395,0.005769799,0.02534201
