Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg
0.032974316,0.013398942,0.55254305,0.013685868,0.01319927,0.014168343,0.014283651,0.035398356
0.042366844,0.000754648,0.612763096,0.001024906,0.003111214,0.005196895,0.002157483,0.020135944
0.030720879,0.02020964,0.50299411,0.021946656,0.022333038,0.022882651,0.023859942,0.041872482
0.035616956,0.012780228,0.543152521,0.015591767,0.015694294,0.017728838,0.018614757,0.033607362
0.03795848,0.020760526,0.61813591,5.41E-05,0.003721921,0.005622124,0.002166254,0.020217312
0.027660033,0.011126745,0.59571189,0.006376396,0.007745171,0.007134333,0.008225648,0.027268395
0.044209664,0.002990586,0.612439451,0.001104362,0.003111214,0.005196895,0.002401672,0.020135944
0.026851075,0.031054524,0.516014688,0.019605879,0.021934824,0.019536259,0.020437103,0.043877417
0.03893036,0.00966536,0.622370754,0.001024906,0.003111214,0.005196895,0.002157483,0.020135944
0.034721799,0.013339515,0.588028373,0.007772814,0.007679861,0.007758045,0.010740953,0.022409494
0.027696687,0.025855449,0.544556221,0.01429822,0.014568682,0.014284005,0.017408751,0.039428405
0.04116989,0.005958346,0.615998928,0.001796243,0.003111214,0.005196895,0.002157483,0.020135944
0.035623556,0.016247261,0.550611328,0.015094336,0.014102471,0.019688009,0.017278975,0.0339938
0.02498216,0.021872005,0.587823177,0.008122342,0.008211775,0.012158768,0.011792543,0.025308993
0.044250633,0.008989984,0.610445344,0.000862167,0.003111214,0.005196895,0.002320222,0.020298684
0.030421437,0.044505644,0.457503389,0.032425806,0.033051842,0.031525211,0.032258457,0.046711404
0.042037107,0.000685846,0.613287309,0.000981425,0.003111214,0.005196895,0.002200965,0.020135944
0.034262935,0.031803585,0.425867739,0.036791456,0.036990295,0.038251341,0.039248295,0.050954365
0.040890954,0.001206382,0.609695757,0.001670312,0.002955805,0.005162093,0.003763685,0.021141886
0.044495319,0.004621101,0.614140437,5.41E-05,0.000266613,0.001340825,0.003557373,0.027250656
0.04314636,0.005299146,0.610665689,0.000908474,0.004646644,0.004623486,0.002157483,0.021387763
0.04242032,0.001081494,0.611775615,0.001104718,0.003368664,0.00496721,0.002229064,0.020944268
0.022733014,0.075121225,0.653431191,0.003711268,0.001127968,0.003828245,0.002157483,0.02348784
0.037868424,0.004274876,0.544213512,0.015485871,0.01573766,0.016688378,0.017563926,0.034700191
0.031950578,0.02895699,0.409792018,0.039103173,0.039347717,0.040372826,0.040810802,0.056205132
0.032418273,0.020691884,0.522204856,0.020216109,0.020560885,0.022918217,0.020404941,0.035502333
0.042186704,0.007872998,0.601068487,0.003929006,0.003308555,0.007383205,0.005221423,0.023387778
0.028334348,0.012092129,0.569643495,0.011052838,0.011335058,0.012299458,0.01197339,0.030841895
0.028180014,0.013619047,0.561470458,0.012282947,0.012031403,0.012610431,0.014309225,0.033732069
0.035058909,0.007158924,0.591728013,0.006251651,0.005938342,0.007231584,0.008498763,0.025850278
