age_permuted,arm_permuted,ht_permuted,htshoes_permuted,leg_permuted,seated_permuted,thigh_permuted,weight_permuted
2.212451732,2.012295829,3.542238342,14.98230622,14.57073295,14.26734695,15.14590548,15.7986654
2.214082483,2.012327025,3.542256619,14.98235414,14.57076054,14.26738689,15.14592687,15.79873209
2.216735383,2.012358246,3.542272874,14.98240654,14.5707894,14.26741434,15.14594189,15.79882685
2.217934016,2.012397975,3.542287939,14.98245851,14.57087668,14.26743753,15.14596477,15.79887858
2.220103947,2.012424388,3.542300568,14.9825097,14.57091305,14.26748873,15.1459922,15.79897347
2.221369867,2.012459989,3.542323636,14.98257364,14.57095423,14.26751459,15.14600567,15.79901228
2.224313617,2.012482963,3.542345401,14.98266553,14.57097549,14.26756496,15.14604104,15.79908898
2.226349382,2.012520391,3.542369889,14.98272683,14.57100645,14.26760624,15.14605712,15.79916804
2.228835233,2.01257724,3.542396788,14.9827572,14.57106305,14.2676488,15.14607387,15.79920322
2.23136253,2.012613944,3.542428972,14.98282444,14.57108628,14.26767553,15.1461103,15.79926543
2.2329868,2.012648401,3.542452989,14.9828705,14.57112838,14.26771446,15.14613797,15.79934156
2.236219283,2.012693899,3.542485577,14.98292172,14.57117378,14.26774677,15.14615354,15.79937537
2.237462314,2.012733304,3.542525486,14.98296962,14.57119556,14.26778197,15.14618872,15.79945157
2.239508613,2.012769328,3.542543186,14.98301132,14.57123308,14.2678174,15.14620419,15.7995213
2.241268516,2.012799455,3.54255716,14.98305501,14.57126659,14.26784317,15.14622027,15.79955792
2.243431648,2.012931176,3.542591243,14.98309061,14.57129367,14.26788779,15.14625265,15.79961233
2.251885931,2.012949875,3.542605636,14.98312413,14.57132305,14.26790941,15.1462659,15.79966498
2.253144713,2.012981683,3.542635778,14.98315349,14.57135826,14.26797117,15.14629884,15.79969765
2.255847299,2.013004387,3.542650258,14.98319855,14.57139675,14.26800511,15.14631302,15.79977206
2.258418131,2.013047921,3.542678199,14.98322428,14.57141353,14.2680516,15.14634083,15.79980646
2.259949748,2.013069451,3.542693214,14.98326262,14.5714466,14.26807626,15.14636107,15.79990351
2.26251175,2.013088371,3.542707276,14.9832956,14.57146634,14.26810186,15.14639473,15.79993512
2.263631749,2.01313645,3.542733142,14.9833268,14.57148713,14.26813236,15.14641288,15.79998992
2.266289298,2.013178881,3.542751457,14.98336339,14.57151809,14.26816835,15.14644003,15.80002133
2.267665048,2.013200474,3.542763981,14.98339571,14.57153734,14.2681944,15.14645715,15.800085
2.269433133,2.013237141,3.542903518,14.98343012,14.57155644,14.26823419,15.14648499,15.80014178
2.270946483,2.013257027,3.542921453,14.98346418,14.57157166,14.26825577,15.14650377,15.80017768
2.272497249,2.013291549,3.542951813,14.98349993,14.57159022,14.26827341,15.14653472,15.80022112
2.274805299,2.013323539,3.542969253,14.98352138,14.57160912,14.26829174,15.14655693,15.80025771
2.275980433,2.013340826,3.542996508,14.98357619,14.57163783,14.26831225,15.14657917,15.80031932
