,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Time
1,0.011,0.116,0.183,0.183,0.135,0.092,0.0928,0.183,0.745
2,0.0119,0.116,0.183,0.183,0.135,0.0928,0.0928,0.183,0.928
3,0.0119,0.116,0.183,0.183,0.135,0.0928,0.0928,0.183,0.625
4,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.71
5,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.71
6,0.023,0.128,0.176,0.176,0.128,0.095,0.095,0.176,0.713
7,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,2.43
8,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.647
9,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.58
10,0.0119,0.116,0.183,0.183,0.135,0.928,0.0928,0.183,0.62
11,0.0119,0.116,0.183,0.183,0.135,0.928,0.0928,0.183,0.66
12,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.67
13,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.65
14,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.64
15,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.675
16,0.0119,0.116,0.183,0.183,0.135,0.928,0.0928,0.183,0.66
17,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.66
18,0.005,0.12,0.186,0.186,0.129,0.086,0.096,0.186,0.738
19,0.0119,0.116,0.183,0.183,0.135,0.928,0.0928,0.183,0.716
20,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.669
21,0.0119,0.116,0.183,0.183,0.135,0.928,0.0928,0.183,0.663
22,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.631
23,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.692
24,0.0119,0.116,0.183,0.183,0.135,0.928,0.0928,0.183,0.867
25,0.023,0.128,0.176,0.176,0.128,0.095,0.095,0.176,0.967
26,0.005,0.12,0.186,0.186,0.129,0.086,0.096,0.186,0.821
27,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.71
28,0.0119,0.116,0.183,0.183,0.135,0.928,0.0928,0.183,0.71
29,0.005,0.12,0.186,0.186,0.129,0.086,0.096,0.186,0.75
30,0,0.123,0.19,0.19,0.123,0.0904,0.0904,0.19,0.69
