,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Time
1,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,1.016
2,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.712
3,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.738
4,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.72
5,0.005,0.139,0.189,0.189,0.165,0.005,0.115,0.189,0.633
6,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.664
7,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.64
8,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.706
9,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.794
10,0.005,0.139,0.189,0.189,0.165,0.005,0.115,0.189,0.639
11,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.759
12,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.654
13,0.005,0.139,0.189,0.189,0.165,0.005,0.115,0.189,0.708
14,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.921
15,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.662
16,0.009,0.142,0.185,0.185,0.161,0.009,0.119,0.185,0.899
17,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.717
18,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.717
19,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.718
20,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.66
21,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.686
22,0.005,0.139,0.189,0.189,0.165,0.005,0.115,0.189,0.666
23,0.005,0.139,0.189,0.189,0.165,0.005,0.115,0.189,0.738
24,0.005,0.139,0.189,0.189,0.165,0.005,0.115,0.189,0.67
25,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.752
26,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.683
27,0.005,0.139,0.189,0.189,0.165,0.005,0.115,0.189,8.481
28,0.009,0.142,0.185,0.185,0.161,0.009,0.119,0.185,0.728
29,0.009,0.142,0.192,0.192,0.159,0,0.109,0.192,0.718
30,0.005,0.139,0.189,0.189,0.165,0.005,0.115,0.189,1.519
