,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Time
1,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,0.98
2,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,0.77
3,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,0.676
4,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,0.659
5,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,0.628
6,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,0.629
7,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,0.645
8,0.015,0.132,0.232,0.005,0.175,0.098,0.108,0.232,0.832
9,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,1.818
10,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,1.177
11,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,0.765
12,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,0.803
13,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,2.42
14,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,1.4
15,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,1.08
16,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,1.04
17,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,1.28
18,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,1.37
19,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,1.36
20,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,1.3
21,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,0.96
22,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,1.13
23,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,1.2
24,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,1.2
25,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,1.12
26,0.015,0.132,0.232,0.005,0.175,0.098,0.108,0.232,1.4
27,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,1.6
28,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,1.3
29,0.011,0.128,0.228,0.011,0.18,0.104,0.104,0.22,1.1
30,0.019,0.135,0.235,0,0.169,0.102,0.102,0.235,1.34
