,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Time
1,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,1.2
2,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,0.863
3,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,0.717
4,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.717
5,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,2.19
6,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.675
7,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,1.013
8,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,1.303
9,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,1.253
10,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,1.312
11,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,1.05
12,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.659
13,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,1.03
14,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.73
15,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,0.684
16,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,0.702
17,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.714
18,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,1.096
19,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,0.674
20,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,0.727
21,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.646
22,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.787
23,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.829
24,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.756
25,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,1.061
26,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.893
27,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,1.027
28,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,1.152
29,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,0.95
30,0.019,0.135,0,0.235,0.169,0.102,0.102,0.235,0.235
