,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Time
1,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,0.769
2,0.015,0.132,0.232,0.232,0.175,0.098,0.108,0,0.801
2,0.015,0.132,0.232,0.232,0.175,0.098,0.108,0,0.801
4,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,0.79
5,0.011,0.128,0.011,0.228,0.18,0.104,0.104,0.228,2.19
6,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,1.208
7,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,0.769
8,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,0.777
9,0.011,0.128,0.228,0.228,0.18,0.104,0.104,0.011,0.738
10,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,1.732
11,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,1.213
12,0.011,0.128,0.228,0.228,0.18,0.104,0.104,0.011,1.808
13,0.015,0.132,0.232,0.232,0.175,0.098,0.108,0,0.828
14,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,1.455
15,0.011,0.128,0.228,0.228,0.18,0.104,0.104,0.011,1.351
16,0.011,0.128,0.228,0.228,0.18,0.104,0.104,0.011,1.538
17,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,1.643
18,0.011,0.128,0.228,0.228,0.18,0.104,0.104,0.011,0.816
19,0.011,0.128,0.228,0.228,0.18,0.104,0.104,0.011,0.666
20,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,1.09
21,0.011,0.128,0.228,0.228,0.18,0.104,0.104,0.011,2.355
22,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,1.326
23,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,1.857
24,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,0.721
25,0.015,0.132,0.232,0.232,0.175,0.098,0.108,0,1.588
26,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,0.71
27,0.019,0.135,0.235,0.235,0.169,0.102,0.102,0,1.275
28,0.011,0.128,0.228,0.228,0.18,0.104,0.104,0.011,0.869
29,0.015,0.132,0.232,0.232,0.175,0.098,0.108,0,0.752
30,0.011,0.128,0.228,0.228,0.18,0.104,0.104,0.011,0.904
