,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Time
1,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.034
2,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.856
3,0,0.116,0.216,0.216,0,0.116,0.116,0.216,0.642
4,0,0.116,0.216,0.216,0,0.116,0.116,0.216,0.881
5,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.361
6,0,0.116,0.216,0.216,0,0.116,0.116,0.216,0.862
7,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.008
8,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.181
9,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.856
10,0,0.116,0.216,0.216,0,0.116,0.116,0.216,0.688
11,0,0.116,0.216,0.216,0,0.116,0.116,0.216,0.815
12,0,0.116,0.216,0.216,0,0.116,0.116,0.216,0.764
13,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.726
14,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.495
15,0,0.116,0.216,0.216,0,0.116,0.116,0.216,2.028
16,0,0.116,0.216,0.216,0,0.116,0.116,0.216,"1,875"
17,0,0.116,0.216,0.216,0,0.116,0.116,0.216,0.873
18,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.792
19,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.594
20,0,0.116,0.216,0.216,0,0.116,0.116,0.216,0.815
21,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.475
22,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.231
23,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.575
24,0,0.116,0.216,0.216,0,0.116,0.116,0.216,2.12
25,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.676
26,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.156
27,0,0.116,0.216,0.216,0,0.116,0.116,0.216,2.138
28,0,0.116,0.216,0.216,0,0.116,0.116,0.216,0.86
29,0,0.116,0.216,0.216,0,0.116,0.116,0.216,1.551
30,0,0.116,0.216,0.216,0,0.116,0.116,0.216,0.935
