,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Time
1,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,1.23
2,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.771
3,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,1.169
4,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.718
5,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.724
6,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,1.25
7,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,1.544
8,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.95
9,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,1.447
10,0.005,0.12,0.186,0.186,0.129,0.096,0.086,0.186,1.375
11,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.684
12,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.09
13,0.005,0.12,0.186,0.186,0.129,0.096,0.086,0.186,0.751
14,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,1.164
15,0.005,0.12,0.186,0.186,0.129,0.096,0.086,0.186,1.733
16,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,1
17,0.005,0.12,0.186,0.186,0.129,0.096,0.086,0.186,1.05
18,0.005,0.12,0.186,0.186,0.129,0.096,0.086,0.186,1.444
19,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,1.107
20,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,1.056
21,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.717
22,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.933
23,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,2.079
24,0.005,0.12,0.186,0.186,0.129,0.096,0.086,0.186,0.816
25,0.005,0.12,0.186,0.186,0.129,0.096,0.086,0.186,1.008
26,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.769
27,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.924
28,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.92
29,0.005,0.12,0.186,0.186,0.129,0.096,0.086,0.186,2.222
30,0.009,0.142,0.192,0.192,0.159,0.109,0,0.192,0.99
