,Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg,Time
1,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,0.849
2,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.684
3,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,0.997
4,0.015,0.005,0.198,0.198,0.141,0.115,0.125,0.198,1.646
5,0.015,0.005,0.198,0.198,0.141,0.115,0.125,0.198,0.797
6,0.015,0.005,0.198,0.198,0.141,0.115,0.125,0.198,1.938
7,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.707
8,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,0.725
9,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.749
10,0.015,0.005,0.198,0.198,0.141,0.115,0.125,0.198,1.564
11,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,1.519
12,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.412
13,0.015,0.005,0.198,0.198,0.141,0.115,0.125,0.198,0.881
14,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,1.103
15,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.048
16,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,1.104
17,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.636
18,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,1.205
19,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.249
20,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,0.846
21,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.472
22,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.161
23,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,1.651
24,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.218
25,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,1
26,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,1.092
27,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,0.834
28,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,0.955
29,0.011,0.011,0.195,0.195,0.147,0.121,0.121,0.195,1.012
30,0.019,0,0.202,0.202,0.135,0.119,0.119,0.202,1.038
